	Color
CD4_T_cell	#39737c
CD4_T_Eff	#ff7f0e
CD8_T_cell	#03579b
Naive_T_cell	#ffbb78
gdT_cell	#4fc3f7
NK_cell	#c49c94
ILC	#7f7f7f
B_cell	#4a198c
Plasma_cell	#98df8a
Macrophage	#d62728
DC	#ff9896
Cycling_Immune	#c7c7c7
Fibroblast	#8c564b
Endothelial	#c5b0d5
Enterocyte	#bcbd22
Immature_Enterocyte	#f7b6d2
BEST4_Colonocyte	#17becf
Colonocyte	#4E79A7
Immature_Colonocyte	#9467bd
TA	#2ca02c
Cycling_TA	#88144f
Goblet	#e377c2
Immature_Goblet	#9edae5
Stem	#F1CE63
Enteroendocrine	#B6992D
Paneth	#86b4a9
M_cell	#dbdb8d
Tuft	#aec7e8
Myeloid	#ea5252
Epithelial	#000000
