Pathway	Ligand	Receptor	LR_pairs
BDNF	BDNF	NTRK2	BDNF->NTRK2
BMP2	BMP2	ACVR2A_BMPR1B	BMP2->ACVR2A_BMPR1B
BMP2	BMP2	BMPR1A_BMPR2	BMP2->BMPR1A_BMPR2
BMP2	BMP2	BMPR1B_BMPR2	BMP2->BMPR1B_BMPR2
BMP2	BMP2	ACVR2B_BMPR1B	BMP2->ACVR2B_BMPR1B
BMP2	BMP2	ACVR2A_BMPR1A	BMP2->ACVR2A_BMPR1A
BMP2	BMP2	ACVR2B_BMPR1A	BMP2->ACVR2B_BMPR1A
BMP4	BMP4	ACVR2B_BMPR1A	BMP4->ACVR2B_BMPR1A
BMP4	BMP4	BMPR1A_BMPR2	BMP4->BMPR1A_BMPR2
BMP4	BMP4	ACVR2A_BMPR1B	BMP4->ACVR2A_BMPR1B
BMP4	BMP4	ACVR2A_BMPR1A	BMP4->ACVR2A_BMPR1A
BMP4	BMP4	BMPR1B_BMPR2	BMP4->BMPR1B_BMPR2
BMP4	BMP4	ACVR2B_BMPR1B	BMP4->ACVR2B_BMPR1B
BMP6	BMP6	ACVR2B_BMPR1B	BMP6->ACVR2B_BMPR1B
BMP6	BMP6	ACVR1_ACVR2B	BMP6->ACVR1_ACVR2B
BMP6	BMP6	BMPR1A_BMPR2	BMP6->BMPR1A_BMPR2
BMP6	BMP6	ACVR2A_BMPR1B	BMP6->ACVR2A_BMPR1B
BMP6	BMP6	ACVR2B_BMPR1A	BMP6->ACVR2B_BMPR1A
BMP6	BMP6	BMPR1B_BMPR2	BMP6->BMPR1B_BMPR2
BMP6	BMP6	ACVR2A_BMPR1A	BMP6->ACVR2A_BMPR1A
BMP6	BMP6	ACVR1_ACVR2A	BMP6->ACVR1_ACVR2A
BMP6	BMP6	ACVR1_BMPR2	BMP6->ACVR1_BMPR2
CD40L	CD40LG	ITGAM_ITGB2	CD40LG->ITGAM_ITGB2
CD40L	CD40LG	CD40	CD40LG->CD40
CD40L	CD40LG	ITGA5_ITGB1	CD40LG->ITGA5_ITGB1
CD40L	CD40LG	ITGA2B_ITGB3	CD40LG->ITGA2B_ITGB3
MCSF	CSF1	CSF1R	CSF1->CSF1R
GMCSF	CSF2	CSF2RA_CSF2RB	CSF2->CSF2RA_CSF2RB
GCSF	CSF3	CSF3R	CSF3->CSF3R
CXCL12	CXCL12	CXCR4	CXCL12->CXCR4
CXCL12	CXCL12	ACKR3	CXCL12->ACKR3
IL27	IL27_EBI3	IL27RA_IL6ST	EBI3_IL27->IL27RA_IL6ST
EGF	EGF	EGFR	EGF->EGFR
EGF	EGF	EGFR_ERBB2	EGF->EGFR_ERBB2
FGF2	FGF2	FGFR1	FGF2->FGFR1
FGF2	FGF2	FGFR3	FGF2->FGFR3
FGF2	FGF2	FGFR4	FGF2->FGFR4
FGF2	FGF2	FGFR2	FGF2->FGFR2
GDF11	GDF11	ACVR1B_ACVR2B	GDF11->ACVR1B_ACVR2B
GDF11	GDF11	ACVR2B_TGFBR1	GDF11->ACVR2B_TGFBR1
GDF11	GDF11	ACVR2A_TGFBR1	GDF11->ACVR2A_TGFBR1
HGF	HGF	MET	HGF->MET
IFN1	IFNA1	IFNAR1_IFNAR2	IFNA1->IFNAR1_IFNAR2
IFN1	IFNA10	IFNAR1_IFNAR2	IFNA10->IFNAR1_IFNAR2
IFN1	IFNA14	IFNAR1_IFNAR2	IFNA14->IFNAR1_IFNAR2
IFN1	IFNA16	IFNAR1_IFNAR2	IFNA16->IFNAR1_IFNAR2
IFN1	IFNA17	IFNAR1_IFNAR2	IFNA17->IFNAR1_IFNAR2
IFN1	IFNA2	IFNAR1_IFNAR2	IFNA2->IFNAR1_IFNAR2
IFN1	IFNA21	IFNAR1_IFNAR2	IFNA21->IFNAR1_IFNAR2
IFN1	IFNA4	IFNAR1_IFNAR2	IFNA4->IFNAR1_IFNAR2
IFN1	IFNA5	IFNAR1_IFNAR2	IFNA5->IFNAR1_IFNAR2
IFN1	IFNA6	IFNAR1_IFNAR2	IFNA6->IFNAR1_IFNAR2
IFN1	IFNA7	IFNAR1_IFNAR2	IFNA7->IFNAR1_IFNAR2
IFN1	IFNA8	IFNAR1_IFNAR2	IFNA8->IFNAR1_IFNAR2
IFN1	IFNB1	IFNAR1_IFNAR2	IFNB1->IFNAR1_IFNAR2
IFNG	IFNG	IFNGR1_IFNGR2	IFNG->IFNGR1_IFNGR2
IFNL	IFNL1	IFNLR1_IL10RB	IFNL1->IFNLR1_IL10RB
IFNL	IFNL2	IFNLR1_IL10RB	IFNL2->IFNLR1_IL10RB
IFNL	IFNL3	IFNLR1_IL10RB	IFNL3->IFNLR1_IL10RB
