Pathway	Family
41BBL	TNF
BAFF	TNF
CD30L	TNF
LTA2-B1	TNF
LTA1-B2	TNF
TL1A	TNF	
LIGHT	TNF
APRIL	TNF
CD27L	TNF
FasL	TNF
GITRL	TNF
RANKL	TNF
Cardiotrophin-1	IL6/IL12
IL11	IL6/IL12
Neuropoietin	IL6/IL12
IL23	IL6/IL12
IFNa1	Interferon
IFNb	Interferon
IFNe	Interferon
IFNk	Interferon
IL18	IL1
IL33	IL1
IL36RA	IL1
IL1ra	IL1
IL17B	IL17
IL17E	IL17
IL5	Common-B chain
IL34	Common-y chain/IL13/TSLP
IL7	Common-y chain/IL13/TSLP
IL9	Common-y chain/IL13/TSLP
TSLP	Common-y chain/IL13/TSLP
Flt3L	Growth factor
CD40L	TNF
TNFA	TNF
TRAIL	TNF
TWEAK	TNF
IL6	IL6/IL12
LIF	IL6/IL12
OSM	IL6/IL12
IL12	IL6/IL12
IL27	IL6/IL12
IL31	IL6/IL12
IFNG	Interferon
IFNL	Interferon
IL1A	IL1
IL1B	IL1
IL36	IL1
IL17A	IL17
IL17F	IL17
GMCSF	Common-B chain
IL3	Common-B chain
GCSF	Growth factor
FGF2	Growth factor
VEGFA	Growth factor
IGF-I	Growth factor
IL13	Common-y chain/IL13/TSLP
IL15	Common-y chain/IL13/TSLP
IL2	Common-y chain/IL13/TSLP
IL21	Common-y chain/IL13/TSLP
IL4	Common-y chain/IL13/TSLP
IL10	IL-10
IL19	IL-10
IL20	IL-10
IL22	IL-10
IL24	IL-10
TGFB1	TGFB
EGF	Growth factor
HGF	Growth factor
MCSF	Growth factor
CXCL12	Chemokine
ActivinA	TGFB
BMP2	TGFB
BDNF	Growth factor
WNT3A	Growth factor
SCF	Growth factor
NO	Other	
Adiponectin	Other
Persephin	Other
TPO	Other
Prolactin	Other
Noggin	Other	
Leptin	Other

