Cytokine	Pathway	Ligand	Receptor	LR_pairs
Adiponectin	Adiponectin	ADIPOQ	ADIPOR2	ADIPOQ->ADIPOR2
Adiponectin	Adiponectin	ADIPOQ	ADIPOR1	ADIPOQ->ADIPOR1
Adiponectin	Adiponectin	ADIPOQ	CDH13	ADIPOQ->CDH13
CD40L	CD40L	CD40LG	ITGA2B_ITGB3	CD40LG->ITGA2B_ITGB3
CD40L	CD40L	CD40LG	ITGAM_ITGB2	CD40LG->ITGAM_ITGB2
CD40L	CD40L	CD40LG	ITGA5_ITGB1	CD40LG->ITGA5_ITGB1
CD40L	CD40L	CD40LG	CD40	CD40LG->CD40
CD27L	CD27L	CD70	CD27	CD70->CD27
M-CSF	MCSF	CSF1	CSF1R	CSF1->CSF1R
GM-CSF	GMCSF	CSF2	CSF2RA_CSF2RB	CSF2->CSF2RA_CSF2RB
G-CSF	GCSF	CSF3	CSF3R	CSF3->CSF3R
Cardiotrophin-1	Cardiotrophin-1	CTF1	IL6ST_LIFR	CTF1->IL6ST_LIFR
Neuropoietin	Neuropoietin	CTF2P	CNTFR_LIFR_IL6ST	CTF2P->CNTFR_LIFR_IL6ST
Decorin	Decorin	DCN	EGFR	DCN->EGFR
Decorin	Decorin	DCN	IGF1R	DCN->IGF1R
Decorin	Decorin	DCN	KDR	DCN->KDR
Decorin	Decorin	DCN	LRP1	DCN->LRP1
Decorin	Decorin	DCN	MET	DCN->MET
EGF	EGF	EGF	EGFR_ERBB2	EGF->EGFR_ERBB2
EGF	EGF	EGF	EGFR	EGF->EGFR
FasL	FasL	FASLG	FAS	FASLG->FAS
FGF-basic	FGF2	FGF2	FGFR3	FGF2->FGFR3
FGF-basic	FGF2	FGF2	FGFR2	FGF2->FGFR2
FGF-basic	FGF2	FGF2	FGFR1	FGF2->FGFR1
FGF-basic	FGF2	FGF2	FGFR4	FGF2->FGFR4
Flt3l	Flt3L	FLT3LG	FLT3	FLT3LG->FLT3
GDNF	GDNF	GDNF	GFRA1_RET	GDNF->GFRA1_RET
HGF	HGF	HGF	MET	HGF->MET
IFNa1	IFNa1	IFNA1	IFNAR1_IFNAR2	IFNA1->IFNAR1_IFNAR2
IFNb	IFNb	IFNB1	IFNAR1_IFNAR2	IFNB1->IFNAR1_IFNAR2
IFNe	IFNe	IFNE	IFNAR1_IFNAR2	IFNE->IFNAR1_IFNAR2
IFNg	IFNG	IFNG	IFNGR1_IFNGR2	IFNG->IFNGR1_IFNGR2
IFNk	IFNk	IFNK	IFNAR1_IFNAR2	IFNK->IFNAR1_IFNAR2
IFNl2	IFNL	IFNL2	IFNLR1_IL10RB	IFNL2->IFNLR1_IL10RB
IGF-I	IGF-I	IGF1	IGF1R	IGF1->IGF1R
IGF-I	IGF-I	IGF1	ITGA6_ITGB4	IGF1->ITGA6_ITGB4
IGF-I	IGF-I	IGF1	ITGAV_ITGB3	IGF1->ITGAV_ITGB3
IL10	IL10	IL10	IL10RA_IL10RB	IL10->IL10RA_IL10RB
IL11	IL11	IL11	IL11RA_IL6ST	IL11->IL11RA_IL6ST
IL12	IL12	IL12A_IL12B	IL12RB1_IL12RB2	IL12A_IL12B->IL12RB1_IL12RB2
IL13	IL13	IL13	IL13RA1_IL4R	IL13->IL13RA1_IL4R
IL15	IL15	IL15	IL15RA_IL2RB_IL2RG	IL15->IL15RA_IL2RB_IL2RG
IL15	IL15	IL15	IL2RB_IL2RG	IL15->IL2RB_IL2RG
IL17A	IL17A	IL17A	IL17RA_IL17RC	IL17A->IL17RA_IL17RC
IL17B	IL17B	IL17B	IL17RB	IL17B->IL17RB
IL17C	IL17C	IL17C	IL17RA_IL17RE	IL17C->IL17RA_IL17RE
IL17D	IL17D	IL17D	CD93	IL17D->CD93
IL17F	IL17F	IL17F	IL17RA_IL17RC	IL17F->IL17RA_IL17RC
IL18	IL18	IL18	IL18R1_IL18RAP	IL18->IL18R1_IL18RAP
IL19	IL19	IL19	IL20RA_IL20RB	IL19->IL20RA_IL20RB
IL1a	IL1A	IL1A	IL1R1_IL1RAP	IL1A->IL1R1_IL1RAP
IL1b	IL1B	IL1B	IL1R1_IL1RAP	IL1B->IL1R1_IL1RAP
IL1ra	IL1ra	IL1RN	IL1R1	IL1RN->IL1R1
IL2	IL2	IL2	IL2RB_IL2RG	IL2->IL2RB_IL2RG
IL2	IL2	IL2	IL20RA_IL20RB_IL2RG	IL2->IL20RA_IL20RB_IL2RG
IL20	IL20	IL20	IL22RA1_IL20RB	IL20->IL22RA1_IL20RB
IL20	IL20	IL20	IL20RA_IL20RB	IL20->IL20RA_IL20RB
IL21	IL21	IL21	IL21R_IL2RG	IL21->IL21R_IL2RG
IL22	IL22	IL22	IL22RA1_IL10RB	IL22->IL22RA1_IL10RB
IL23	IL23	IL23A_IL12B	IL23R_IL12RB1	IL23R_IL12RB1
IL24	IL24	IL24	IL20RA_IL20RB	IL24->IL20RA_IL20RB
IL24	IL24	IL24	IL22RA1_IL20RB	IL24->IL22RA1_IL20RB
IL17E	IL17E	IL25	IL17RA_IL17RB	IL25->IL17RA_IL17RB
IL30	IL30	IL27	IL27RA_IL6ST	IL27->IL27RA_IL6ST
IL27	IL27	IL27_EBI3	IL27RA_IL6ST	IL27_EBI3->IL27RA_IL6ST
IL-Y	IL-Y	IL27_IL12B	IL27RA_IL12RB1	IL27_IL12B->IL27RA_IL12RB1
IL3	IL3	IL3	IL3RA_CSF2RB	IL3->IL3RA_CSF2RB
IL31	IL31	IL31	IL31RA_OSMR	IL31->IL31RA_OSMR
IL33	IL33	IL33	IL1RL1_IL1RAP	IL33->IL1RL1_IL1RAP
IL34	IL34	IL34	CSF1R	IL34->CSF1R
IL36a	IL36	IL36A	IL1RL2_IL1RAP	IL36A->IL1RL2_IL1RAP
IL36RA	IL36RA	IL36RN	IL1RL2_IL1RAP	IL36RN->IL1RL2_IL1RAP
IL4	IL4	IL4	IL4R_IL13RA1	IL4->IL4R_IL13RA1
IL4	IL4	IL4	IL4R_IL2RG	IL4->IL4R_IL2RG
IL5	IL5	IL5	IL5RA_CSF2RB	IL5->IL5RA_CSF2RB
IL6	IL6	IL6	IL6R_IL6ST	IL6->IL6R_IL6ST
IL7	IL7	IL7	IL7R_IL2RG	IL7->IL7R_IL2RG
IL9	IL9	IL9	IL9R_IL2RG	IL9->IL9R_IL2RG
SCF	SCF	KITLG	KIT	KITLG->KIT
Leptin	Leptin	LEP	LEPR	LEP->LEPR
LIF	LIF	LIF	LIFR_IL6ST	LIF->LIFR_IL6ST
LTA1-B2	LTA1-B2	LTA_LTB	LTBR	LTA_LTB->LTBR
LTA2-B1	LTA2-B1	LTA_LTB	TNFRSF1A	LTA_LTB->TNFRSF1A
LTA2-B1	LTA2-B1	LTA_LTB	TNFRSF1B	LTA_LTB->TNFRSF1B
Noggin	Noggin	NOG	BMPR1A_BMPR2	NOG->BMPR1A_BMPR2
Noggin	Noggin	NOG	BMPR1B_BMPR2	NOG->BMPR1B_BMPR2
OSM	OSM	OSM	IL6ST_OSMR	OSM->IL6ST_OSMR
OSM	OSM	OSM	IL6ST_LIFR	OSM->IL6ST_LIFR
Prolactin	Prolactin	PRL	PRLR	PRL->PRLR
Persephin	Persephin	PSPN	GFRA4_RET	PSPN->GFRA4_RET
Resistin	Resistin	RETN	CAP1	RETN->CAP1
Resistin	Resistin	RETN	TLR4	RETN->TLR4
TGF-beta-1	TGFB1	TGFB1	ACVR1B_TGFBR2	TGFB1->ACVR1B_TGFBR2
TGF-beta-1	TGFB1	TGFB1	ACVR1C_TGFBR2	TGFB1->ACVR1C_TGFBR2
TGF-beta-1	TGFB1	TGFB1	TGFBR1_TGFBR2	TGFB1->TGFBR1_TGFBR2
TGF-beta-1	TGFB1	TGFB1	ACVR1_TGFBR1_TGFBR2	TGFB1->ACVR1_TGFBR1_TGFBR2
TPO	TPO	THPO	MPL	THPO->MPL
TNFa	TNFA	TNF	TNFRSF1A	TNF->TNFRSF1A
TNFa	TNFA	TNF	TNFRSF1B	TNF->TNFRSF1B
TRAIL	TRAIL	TNFSF10	TNFRSF10A	TNFSF10->TNFRSF10A
