Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
B cell	B_cell	IL-1α	IL1a	Zfp36l2	1.090929999	8.00795E-20	0.509	0.217
B cell	B_cell	IL-1α	IL1a	Arap2	0.891993631	7.89645E-10	0.314	0.11
B cell	B_cell	IL-1α	IL1a	Socs3	0.843500163	5.32029E-10	0.16	0.023
B cell	B_cell	IL-1α	IL1a	Napsa	0.808775594	1.24492E-14	0.794	0.585
B cell	B_cell	IL-1α	IL1a	Gpr171	0.791013037	1.74314E-09	0.331	0.124
B cell	B_cell	IL-1α	IL1a	Ccnd2	0.699462699	0.020974514	0.222	0.118
B cell	B_cell	IL-1α	IL1a	Ptpn1	0.686511389	2.87274E-06	0.412	0.23
B cell	B_cell	IL-1α	IL1a	Ly6a	0.673258602	1.25601E-05	0.572	0.359
B cell	B_cell	IL-1α	IL1a	Pdcd4	0.672801908	0.000113007	0.336	0.187
B cell	B_cell	IL-1α	IL1a	Sorl1	0.626455408	1.59362E-06	0.501	0.277
B cell	B_cell	IL-1α	IL1a	Ptpn22	0.61633149	4.80433E-06	0.184	0.053
B cell	B_cell	IL-1α	IL1a	Ccnd3	0.609416852	1.59362E-06	0.306	0.147
B cell	B_cell	IL-1α	IL1a	Sesn1	0.597453187	3.10595E-08	0.233	0.078
B cell	B_cell	IL-1α	IL1a	Tsc22d3	0.562025336	1.9807E-08	0.566	0.38
B cell	B_cell	IL-1α	IL1a	Ssh2	0.525973047	0.004292907	0.295	0.16
B cell	B_cell	IL-1α	IL1a	Egln2	0.521793665	0.000127219	0.238	0.118
B cell	B_cell	IL-1α	IL1a	Ifi47	0.498796577	0.000103965	0.233	0.1
B cell	B_cell	IL-1α	IL1a	Cd83	0.490730385	0.047019285	0.417	0.271
B cell	B_cell	IL-1α	IL1a	Ncl	0.47920987	0.031744755	0.585	0.473
B cell	B_cell	IL-1α	IL1a	Stat1	0.467633416	0.006400116	0.352	0.215
B cell	B_cell	IL-1α	IL1a	Foxn3	0.463906495	0.039440214	0.469	0.324
B cell	B_cell	IL-1α	IL1a	Bcl3	0.451151595	0.00072706	0.154	0.054
B cell	B_cell	IL-1α	IL1a	Syngr2	0.450945496	0.011171755	0.29	0.163
B cell	B_cell	IL-1α	IL1a	Cytip	0.440726043	0.004369019	0.477	0.331
B cell	B_cell	IL-1α	IL1a	Hs3st1	0.435205171	0.00681617	0.125	0.035
B cell	B_cell	IL-1α	IL1a	Cebpb	0.428262683	0.00824245	0.141	0.056
B cell	B_cell	IL-1α	IL1a	Irf1	0.426112748	0.043331877	0.195	0.105
B cell	B_cell	IL-1α	IL1a	Irgm1	0.423011436	0.01598704	0.146	0.072
B cell	B_cell	IL-1α	IL1a	Mrpl52	0.422353192	0.00824245	0.436	0.279
B cell	B_cell	IL-1α	IL1a	Hspa9	0.421192639	0.000103965	0.255	0.117
B cell	B_cell	IL-1α	IL1a	Acp5	0.416744768	0.007045032	0.312	0.198
B cell	B_cell	IL-1α	IL1a	Adrb2	0.413737099	0.011611351	0.203	0.095
B cell	B_cell	IL-1α	IL1a	Sema4b	0.412344518	0.025978119	0.152	0.071
B cell	B_cell	IL-1α	IL1a	Hcls1	0.409911375	0.000100588	0.388	0.23
B cell	B_cell	IL-1α	IL1a	Serinc3	0.407546525	0.006400116	0.726	0.554
B cell	B_cell	IL-1α	IL1a	Ranbp1	0.395947034	0.014108984	0.352	0.224
B cell	B_cell	IL-1α	IL1a	Odc1	0.392714245	0.007045032	0.168	0.072
B cell	B_cell	IL-1α	IL1a	Pkig	0.388133999	0.006084444	0.509	0.365
B cell	B_cell	IL-1α	IL1a	Cd38	0.387003902	0.016715466	0.355	0.238
B cell	B_cell	IL-1α	IL1a	Ppp1r21	0.373631605	0.0007047	0.122	0.037
B cell	B_cell	IL-1α	IL1a	Zbp1	0.372067283	0.011171755	0.144	0.063
B cell	B_cell	IL-1α	IL1a	Mettl1	0.367745005	0.003669731	0.13	0.048
B cell	B_cell	IL-1α	IL1a	Spcs2	0.351865951	0.035480817	0.42	0.274
B cell	B_cell	IL-1α	IL1a	Scd1	0.343942638	0.007643635	0.547	0.401
B cell	B_cell	IL-1α	IL1a	Pag1	0.341681118	0.026939353	0.347	0.229
B cell	B_cell	IL-1α	IL1a	Zfp1	0.329876365	0.025103227	0.108	0.043
B cell	B_cell	IL-1α	IL1a	Nme1	0.326523168	0.035480817	0.461	0.338
B cell	B_cell	IL-1α	IL1a	Alkbh1	0.324669581	0.024471551	0.209	0.11
B cell	B_cell	IL-1α	IL1a	Apobec1	0.304418282	0.001384437	0.103	0.034
B cell	B_cell	IL-1α	IL1a	Dhx40	0.290549241	0.00681617	0.106	0.043
B cell	B_cell	IL-1α	IL1a	Ptprj	0.277889612	0.02656187	0.152	0.077
B cell	B_cell	IL-1α	IL1a	Fxr1	0.269611363	0.046585542	0.168	0.092
B cell	B_cell	IL-1α	IL1a	Tbc1d15	0.260149752	0.021807819	0.108	0.047
B cell	B_cell	IL-1α	IL1a	Fth1	-0.286945033	9.48324E-05	0.973	0.979
