Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
ILC	ILC	IL-1α	IL1a	Gzmc	4.671945586	7.70108E-06	0.846	0.097
ILC	ILC	IL-1α	IL1a	Tnfrsf9	3.260241748	1.62519E-05	0.769	0.081
ILC	ILC	IL-1α	IL1a	Csf2	3.021931961	5.35604E-08	0.846	0.032
ILC	ILC	IL-1α	IL1a	Cx3cl1	2.584152017	0.000272422	0.846	0.194
ILC	ILC	IL-1α	IL1a	Batf	2.501349515	0.021877221	0.769	0.242
ILC	ILC	IL-1α	IL1a	Cd74	2.27861727	0.004604302	1	0.661
ILC	ILC	IL-1α	IL1a	Ccr7	2.20305435	0.001305607	0.846	0.21
ILC	ILC	IL-1α	IL1a	Bcl2a1d	2.167224863	1.84079E-06	0.846	0.065
ILC	ILC	IL-1α	IL1a	Icosl	1.967239059	0.011058235	0.692	0.161
ILC	ILC	IL-1α	IL1a	Bcl2a1b	1.958245544	0.000870192	0.846	0.161
ILC	ILC	IL-1α	IL1a	Manf	1.926774196	0.000870192	1	0.371
ILC	ILC	IL-1α	IL1a	Calr	1.910588492	0.000870192	1	0.661
ILC	ILC	IL-1α	IL1a	Sdhaf1	1.897252274	0.000870192	0.923	0.274
ILC	ILC	IL-1α	IL1a	Dap	1.896606917	0.021758963	0.846	0.516
ILC	ILC	IL-1α	IL1a	Gadd45b	1.889470943	0.000870192	0.923	0.177
ILC	ILC	IL-1α	IL1a	Arap2	1.877233347	0.002280371	0.615	0.081
ILC	ILC	IL-1α	IL1a	Traf1	1.874900035	0.002465241	1	0.516
ILC	ILC	IL-1α	IL1a	Stat5a	1.868944636	0.027840155	0.538	0.097
ILC	ILC	IL-1α	IL1a	Kdm6b	1.868939233	0.000870192	0.769	0.145
ILC	ILC	IL-1α	IL1a	Il4i1	1.85936276	0.015497105	0.462	0.048
ILC	ILC	IL-1α	IL1a	Psme2	1.827167475	0.001755231	1	0.468
ILC	ILC	IL-1α	IL1a	Pdia6	1.802255473	0.018667905	0.846	0.387
ILC	ILC	IL-1α	IL1a	Stx11	1.756982964	0.014857497	0.538	0.081
