Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
Langerhans	Langerhans	IL-1α	IL1a	Ccl17	2.885719976	1.29707E-17	0.823	0.32
Langerhans	Langerhans	IL-1α	IL1a	Cytip	2.790717256	6.4701E-33	1	0.385
Langerhans	Langerhans	IL-1α	IL1a	Tcaf2	2.420760896	3.60752E-24	0.823	0.199
Langerhans	Langerhans	IL-1α	IL1a	Pkib	2.239561204	5.42302E-18	0.597	0.107
Langerhans	Langerhans	IL-1α	IL1a	Pik3r1	2.058455579	1.01841E-28	0.968	0.265
Langerhans	Langerhans	IL-1α	IL1a	Ccl22	1.948965819	3.47714E-08	0.968	0.77
Langerhans	Langerhans	IL-1α	IL1a	Cst3	1.852906835	5.04592E-21	1	0.983
Langerhans	Langerhans	IL-1α	IL1a	Ccr7	1.791119301	6.28494E-24	0.984	0.856
Langerhans	Langerhans	IL-1α	IL1a	Ptpn1	1.520049352	2.27114E-15	0.694	0.186
Langerhans	Langerhans	IL-1α	IL1a	Nr4a3	1.476285447	2.64975E-15	0.403	0.038
Langerhans	Langerhans	IL-1α	IL1a	Cd274	1.474556681	5.46389E-18	0.435	0.034
Langerhans	Langerhans	IL-1α	IL1a	Vim	1.456244786	2.27401E-13	1	0.825
Langerhans	Langerhans	IL-1α	IL1a	Rel	1.452092578	5.33993E-15	0.887	0.502
Langerhans	Langerhans	IL-1α	IL1a	Srgn	1.419794245	2.60096E-14	0.935	0.44
Langerhans	Langerhans	IL-1α	IL1a	Scn3a	1.385375153	1.16328E-16	0.419	0.034
Langerhans	Langerhans	IL-1α	IL1a	Ehd1	1.373010791	1.00707E-15	0.565	0.107
Langerhans	Langerhans	IL-1α	IL1a	Ndrg1	1.365748349	6.14838E-11	0.694	0.251
Langerhans	Langerhans	IL-1α	IL1a	Plk2	1.283495849	1.90064E-18	0.371	0.014
Langerhans	Langerhans	IL-1α	IL1a	Anxa2	1.272496955	1.68841E-06	0.839	0.632
Langerhans	Langerhans	IL-1α	IL1a	Rab8b	1.184957385	3.51727E-08	0.71	0.32
Langerhans	Langerhans	IL-1α	IL1a	Plek2	1.180870747	8.1989E-18	0.387	0.021
Langerhans	Langerhans	IL-1α	IL1a	Txn1	1.148431323	1.1713E-09	0.952	0.742
Langerhans	Langerhans	IL-1α	IL1a	Glipr2	1.122745903	5.91503E-10	0.597	0.186
Langerhans	Langerhans	IL-1α	IL1a	Cd302	1.096555582	3.95545E-15	0.387	0.034
Langerhans	Langerhans	IL-1α	IL1a	Crem	1.093846023	1.51008E-12	0.403	0.055
Langerhans	Langerhans	IL-1α	IL1a	P2ry10	1.082338841	5.94222E-08	0.435	0.11
Langerhans	Langerhans	IL-1α	IL1a	Bcl2a1d	1.073737072	2.17653E-07	0.919	0.684
Langerhans	Langerhans	IL-1α	IL1a	Pde4b	1.050460301	4.80351E-07	0.613	0.254
Langerhans	Langerhans	IL-1α	IL1a	Bcl2a1a	1.036824844	1.08291E-07	0.919	0.718
Langerhans	Langerhans	IL-1α	IL1a	Cd86	1.035629979	1.89736E-07	0.403	0.1
Langerhans	Langerhans	IL-1α	IL1a	Socs1	1.033544752	1.5888E-06	0.548	0.223
Langerhans	Langerhans	IL-1α	IL1a	Ktn1	0.996241656	3.82502E-05	0.79	0.505
Langerhans	Langerhans	IL-1α	IL1a	Ly75	0.995587972	1.36229E-08	0.613	0.213
Langerhans	Langerhans	IL-1α	IL1a	Bcl2l11	0.989681299	7.17869E-14	0.355	0.027
Langerhans	Langerhans	IL-1α	IL1a	Bcl2a1b	0.985947201	3.26149E-10	1	0.911
Langerhans	Langerhans	IL-1α	IL1a	Lactb	0.978755829	0.000270715	0.484	0.22
Langerhans	Langerhans	IL-1α	IL1a	Pik3r5	0.977399036	1.07378E-07	0.677	0.285
Langerhans	Langerhans	IL-1α	IL1a	Gpbp1	0.974894475	9.2282E-05	0.677	0.416
Langerhans	Langerhans	IL-1α	IL1a	Il10ra	0.968514574	8.39055E-10	0.403	0.072
Langerhans	Langerhans	IL-1α	IL1a	Adgrg6	0.95362984	1.84423E-07	0.468	0.137
Langerhans	Langerhans	IL-1α	IL1a	Mkrn1	0.946858422	6.79977E-06	0.629	0.309
Langerhans	Langerhans	IL-1α	IL1a	Cyfip1	0.929561139	1.46255E-05	0.565	0.254
Langerhans	Langerhans	IL-1α	IL1a	Syngr2	0.927000032	4.66327E-06	0.887	0.718
Langerhans	Langerhans	IL-1α	IL1a	Ggta1	0.91158382	1.48437E-10	0.435	0.079
Langerhans	Langerhans	IL-1α	IL1a	Vwa5a	0.910204475	1.0083E-05	0.742	0.392
Langerhans	Langerhans	IL-1α	IL1a	Nrp2	0.894929434	0.024647459	0.435	0.21
Langerhans	Langerhans	IL-1α	IL1a	Fam49b	0.876924669	6.00331E-08	0.629	0.234
Langerhans	Langerhans	IL-1α	IL1a	Tes	0.870105641	0.000241483	0.468	0.192
Langerhans	Langerhans	IL-1α	IL1a	Ifitm2	0.869727806	3.61685E-05	0.452	0.168
Langerhans	Langerhans	IL-1α	IL1a	Calm1	0.855414362	3.52003E-05	0.968	0.931
Langerhans	Langerhans	IL-1α	IL1a	Nfil3	0.85269393	1.82516E-12	0.306	0.021
Langerhans	Langerhans	IL-1α	IL1a	Prps1	0.848616009	0.000971641	0.306	0.093
Langerhans	Langerhans	IL-1α	IL1a	Il1b	0.845669092	0.004615285	0.161	0.031
Langerhans	Langerhans	IL-1α	IL1a	Cdkn1a	0.840787773	0.002510819	0.871	0.653
Langerhans	Langerhans	IL-1α	IL1a	Lcp1	0.840281822	0.002978233	0.645	0.395
Langerhans	Langerhans	IL-1α	IL1a	Prdm1	0.839822628	0.000149296	0.323	0.093
Langerhans	Langerhans	IL-1α	IL1a	St8sia4	0.839714141	0.02701494	0.371	0.179
Langerhans	Langerhans	IL-1α	IL1a	Pim1	0.836085653	0.000511772	0.597	0.306
Langerhans	Langerhans	IL-1α	IL1a	Nuak2	0.834322575	5.47799E-05	0.419	0.148
Langerhans	Langerhans	IL-1α	IL1a	Serpinb9	0.829736742	0.000442369	0.855	0.56
Langerhans	Langerhans	IL-1α	IL1a	Id2	0.825568736	1.03536E-09	0.984	0.883
Langerhans	Langerhans	IL-1α	IL1a	Serpina3g	0.825472187	5.16957E-05	0.29	0.069
Langerhans	Langerhans	IL-1α	IL1a	Ahnak	0.823958908	3.59058E-06	0.742	0.371
Langerhans	Langerhans	IL-1α	IL1a	Slfn2	0.817483417	0.002931858	0.484	0.251
Langerhans	Langerhans	IL-1α	IL1a	Adprh	0.813403217	5.61144E-06	0.468	0.158
Langerhans	Langerhans	IL-1α	IL1a	Etnk1	0.804594407	0.000166093	0.5	0.21
Langerhans	Langerhans	IL-1α	IL1a	Yes1	0.802020804	0.015060106	0.435	0.216
Langerhans	Langerhans	IL-1α	IL1a	Irf5	0.794571344	0.002978233	0.548	0.316
Langerhans	Langerhans	IL-1α	IL1a	Gbp5	0.794372869	0.000851205	0.5	0.244
Langerhans	Langerhans	IL-1α	IL1a	Serpinb6b	0.780188568	0.000788847	0.871	0.67
