Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
Macrophage	Macrophage	IL-1α	IL1a	Ccl9	4.509150364	4.71806E-32	0.617	0.061
Macrophage	Macrophage	IL-1α	IL1a	Ccl6	3.544290005	4.19121E-23	0.486	0.048
Macrophage	Macrophage	IL-1α	IL1a	Ccl7	3.168066137	1.10488E-17	0.533	0.119
Macrophage	Macrophage	IL-1α	IL1a	Ccl12	3.167115171	3.96967E-29	0.794	0.232
Macrophage	Macrophage	IL-1α	IL1a	Wfdc17	2.818429407	1.00249E-12	0.514	0.154
Macrophage	Macrophage	IL-1α	IL1a	Ccl2	2.6995325	5.76035E-21	0.505	0.068
Macrophage	Macrophage	IL-1α	IL1a	Sdc4	2.482469361	3.67067E-15	0.374	0.044
Macrophage	Macrophage	IL-1α	IL1a	Serpina3g	2.03524709	1.86711E-14	0.533	0.126
Macrophage	Macrophage	IL-1α	IL1a	Mt1	1.971410817	1.34695E-17	0.907	0.642
Macrophage	Macrophage	IL-1α	IL1a	Cd209e	1.93311304	2.42289E-10	0.346	0.065
Macrophage	Macrophage	IL-1α	IL1a	Dab2	1.92629988	1.32665E-09	0.514	0.191
Macrophage	Macrophage	IL-1α	IL1a	Ptpn1	1.795126597	5.49563E-23	0.888	0.509
Macrophage	Macrophage	IL-1α	IL1a	Il1b	1.675918993	1.34121E-09	0.196	0.007
Macrophage	Macrophage	IL-1α	IL1a	Ifi204	1.607331146	3.12673E-11	0.421	0.096
Macrophage	Macrophage	IL-1α	IL1a	Mafb	1.480835882	1.17246E-05	0.682	0.457
Macrophage	Macrophage	IL-1α	IL1a	Xbp1	1.406985004	2.68894E-09	0.495	0.174
Macrophage	Macrophage	IL-1α	IL1a	Fcgr2b	1.400209506	8.07659E-06	0.29	0.082
Macrophage	Macrophage	IL-1α	IL1a	Lgmn	1.354613125	0.031825703	0.355	0.198
Macrophage	Macrophage	IL-1α	IL1a	Ms4a6d	1.332355435	0.000113235	0.29	0.096
Macrophage	Macrophage	IL-1α	IL1a	Bcl2a1b	1.317757794	1.44056E-05	0.561	0.297
Macrophage	Macrophage	IL-1α	IL1a	Ccl17	1.30734649	7.23671E-06	0.168	0.017
Macrophage	Macrophage	IL-1α	IL1a	Atp6v1b2	1.287216493	3.28964E-07	0.523	0.235
Macrophage	Macrophage	IL-1α	IL1a	Clec4n	1.266785268	0.000106456	0.523	0.273
Macrophage	Macrophage	IL-1α	IL1a	Palld	1.261756758	5.98175E-09	0.308	0.055
Macrophage	Macrophage	IL-1α	IL1a	Mt2	1.238919441	4.98834E-08	0.477	0.164
Macrophage	Macrophage	IL-1α	IL1a	Clic4	1.203781071	5.30508E-08	0.467	0.16
Macrophage	Macrophage	IL-1α	IL1a	Plin2	1.184141482	0.001976422	0.514	0.311
