Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
Mast cell	Mast_cell	IL-1α	IL1a	Tpsab1	2.875598624	0.01564046	0.909	0.536
Mast cell	Mast_cell	IL-1α	IL1a	Slc7a8	2.215720862	0.016057164	0.909	0.357
Mast cell	Mast_cell	IL-1α	IL1a	Hs3st1	2.115413123	0.002315628	0.727	0.089
Mast cell	Mast_cell	IL-1α	IL1a	Muc13	2.106403846	0.03191248	0.909	0.393
Mast cell	Mast_cell	IL-1α	IL1a	Il7r	2.106303031	0.015214074	0.727	0.125
Mast cell	Mast_cell	IL-1α	IL1a	Ifitm2	2.082282475	0.004494178	1	0.857
Mast cell	Mast_cell	IL-1α	IL1a	Smpx	2.076498415	0.015214074	0.636	0.089
Mast cell	Mast_cell	IL-1α	IL1a	Pcyt1a	1.819594511	0.020070146	0.727	0.161
Mast cell	Mast_cell	IL-1α	IL1a	Ucp2	1.799099345	0.005018322	1	0.643
Mast cell	Mast_cell	IL-1α	IL1a	Tax1bp1	1.798739514	0.020070146	1	0.786
Mast cell	Mast_cell	IL-1α	IL1a	Stk39	1.779429716	0.00086954	0.727	0.071
Mast cell	Mast_cell	IL-1α	IL1a	Ero1l	1.760802174	0.001423641	0.636	0.036
Mast cell	Mast_cell	IL-1α	IL1a	Nsf	1.630675518	0.00086954	0.727	0.054
Mast cell	Mast_cell	IL-1α	IL1a	Dhrs3	1.440281516	0.015214074	0.455	0.018
Mast cell	Mast_cell	IL-1α	IL1a	Asns	0.984099061	0.015214074	0.364	0
Mast cell	Mast_cell	IL-1β	IL1b	Tpsab1	2.588567497	0.003562374	1	0.536
Mast cell	Mast_cell	IL-1β	IL1b	Gzmb	2.562955407	0.038359125	0.667	0.125
Mast cell	Mast_cell	IL-1β	IL1b	Tax1bp1	2.247402683	0.028228339	1	0.786
Mast cell	Mast_cell	IL-1β	IL1b	Lcp2	2.244060671	0.003562374	0.917	0.232
Mast cell	Mast_cell	IL-1β	IL1b	Il7r	2.174656012	0.03161031	0.667	0.125
Mast cell	Mast_cell	IL-1β	IL1b	Glb1	2.070264177	0.020032064	0.667	0.107
Mast cell	Mast_cell	IL-1β	IL1b	Ifitm2	1.926988423	0.022222606	1	0.857
Mast cell	Mast_cell	IL-1β	IL1b	Cadm3	1.850662747	0.044600432	0.5	0.054
Mast cell	Mast_cell	IL-1β	IL1b	Cdkn1a	1.831018121	0.047531513	0.5	0.054
Mast cell	Mast_cell	IL-1β	IL1b	St3gal5	1.808858792	0.024229152	0.75	0.161
Mast cell	Mast_cell	IL-1β	IL1b	Pcyt1a	1.717270705	0.021769543	0.75	0.161
Mast cell	Mast_cell	IL-1β	IL1b	Pdcd1lg2	1.378684952	0.028228339	0.333	0
Mast cell	Mast_cell	IL-1β	IL1b	Zfp53	1.260677857	0.028228339	0.333	0
Mast cell	Mast_cell	IL-1β	IL1b	Itm2b	-1.476483219	0.032886245	1	1
Mast cell	Mast_cell	IL-18	IL18	Iigp1	3.469866859	0.003270748	0.8	0.071
Mast cell	Mast_cell	IL-18	IL18	Irf1	3.407041881	0.000293357	0.8	0.036
Mast cell	Mast_cell	IL-18	IL18	Stat1	3.127299384	0.003270748	1	0.143
Mast cell	Mast_cell	IL-18	IL18	Gbp2	3.108343471	0.002676258	1	0.125
Mast cell	Mast_cell	IL-18	IL18	Socs1	2.968170113	0.006904779	0.8	0.089
Mast cell	Mast_cell	IL-18	IL18	Pim1	2.763798462	0.003327653	1	0.143
Mast cell	Mast_cell	IL-18	IL18	Irgm2	2.439423898	0.002676258	0.6	0.018
Mast cell	Mast_cell	IL-18	IL18	Igtp	1.996197103	0.004953477	0.8	0.071
Mast cell	Mast_cell	IL-18	IL18	Ifi47	1.939919201	0.007486387	1	0.143
Mast cell	Mast_cell	IL-18	IL18	Gbp5	1.906660399	0.003155665	0.6	0.018
Mast cell	Mast_cell	IL-18	IL18	Tap1	1.842582037	0.022175338	1	0.161
Mast cell	Mast_cell	IL-18	IL18	Gbp7	1.838215793	0.029651997	1	0.179
Mast cell	Mast_cell	IL-18	IL18	Mier3	1.590841281	0.008283684	0.6	0.036
Mast cell	Mast_cell	IL-18	IL18	Tmem183a	1.554395296	0.012830666	0.6	0.036
Mast cell	Mast_cell	IL-18	IL18	Dennd4b	1.4503124	0.003155665	0.6	0.018
Mast cell	Mast_cell	IL-18	IL18	Smcr8	1.422529742	0.003327653	0.4	0
Mast cell	Mast_cell	IL-18	IL18	Fzd6	1.397774665	0.003327653	0.4	0
Mast cell	Mast_cell	IL-18	IL18	Irf8	1.360214357	0.012830666	0.6	0.036
Mast cell	Mast_cell	IL-18	IL18	Fam84b	1.316947156	0.000145175	0.6	0
Mast cell	Mast_cell	IL-18	IL18	Pdhx	1.249446023	0.003270748	0.6	0.018
Mast cell	Mast_cell	IL-18	IL18	Txndc15	1.128069568	0.04218962	0.6	0.054
Mast cell	Mast_cell	IL-18	IL18	Akna	0.980572914	0.003327653	0.4	0
Mast cell	Mast_cell	IL-18	IL18	Rnf220	0.940816095	0.031197866	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Ifi35	1.705908191	0.012574528	1	0.143
Mast cell	Mast_cell	IL-36α	IL36a	Elp5	1.303374719	0.026648307	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Ifit1	1.295722857	0.045827199	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Lztfl1	1.159523269	0.0297397	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Tbc1d17	1.159085185	0.006352792	0.6	0.018
Mast cell	Mast_cell	IL-36α	IL36a	Zfp146	1.124040942	0.006352792	0.4	0
Mast cell	Mast_cell	IL-36α	IL36a	Dapl1	1.117148442	0.006352792	0.4	0
Mast cell	Mast_cell	IL-36α	IL36a	Lss	1.117148442	0.006352792	0.4	0
Mast cell	Mast_cell	IL-36α	IL36a	Abcf2	1.033259745	0.0297397	0.6	0.036
Mast cell	Mast_cell	IL-36α	IL36a	Neurl4	0.845230374	0.006352792	0.4	0
Mast cell	Mast_cell	IL-36α	IL36a	Zfp748	0.845230374	0.006352792	0.4	0
Mast cell	Mast_cell	IL-36α	IL36a	Anapc7	0.838493993	0.006352792	0.4	0
Mast cell	Mast_cell	IL-2	IL2	Stat1	1.908482227	0.011273181	0.667	0.143
Mast cell	Mast_cell	IL-2	IL2	Irf1	1.901905626	0.048526328	0.417	0.036
Mast cell	Mast_cell	IL-2	IL2	Ly6a	1.071833938	0.015320019	1	0.946
Mast cell	Mast_cell	IL-2	IL2	B2m	0.961636667	0.009573756	1	0.964
Mast cell	Mast_cell	IL-2	IL2	Hdc	-1.396181598	0.017818312	0.792	0.982
Mast cell	Mast_cell	IL-15	IL15	Ifitm3	3.599799274	0.004469933	0.615	0.089
Mast cell	Mast_cell	IL-15	IL15	Gbp2	3.356146095	0.005205367	0.692	0.125
Mast cell	Mast_cell	IL-15	IL15	Isg15	3.07405697	5.1802E-05	0.769	0.071
Mast cell	Mast_cell	IL-15	IL15	Irf1	2.817661244	5.60749E-06	0.769	0.036
Mast cell	Mast_cell	IL-15	IL15	Iigp1	2.712078811	5.47875E-05	0.769	0.071
Mast cell	Mast_cell	IL-15	IL15	Ifit1	2.412158464	5.47875E-05	0.692	0.036
Mast cell	Mast_cell	IL-15	IL15	Stat1	2.375293921	0.000174805	0.846	0.143
