Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
MigDC	MigDC	IL-1α	IL1a	Ccl17	2.893630934	3.58546E-43	0.653	0.214
MigDC	MigDC	IL-1α	IL1a	Cytip	2.470190551	2.5951E-99	0.918	0.318
MigDC	MigDC	IL-1α	IL1a	Pkib	1.82060779	1.54984E-38	0.44	0.061
MigDC	MigDC	IL-1α	IL1a	Nr4a3	1.666427295	2.89856E-32	0.475	0.12
MigDC	MigDC	IL-1α	IL1a	Ccl22	1.614134941	4.0698E-18	0.82	0.64
MigDC	MigDC	IL-1α	IL1a	Ccr7	1.51139529	1.42959E-75	0.971	0.843
MigDC	MigDC	IL-1α	IL1a	Cst3	1.416105766	1.62229E-46	0.981	0.885
MigDC	MigDC	IL-1α	IL1a	Srgn	1.320896408	1.17279E-36	0.912	0.749
MigDC	MigDC	IL-1α	IL1a	Ifitm2	1.320345066	1.21416E-29	0.629	0.288
MigDC	MigDC	IL-1α	IL1a	Ndrg1	1.278393899	9.45915E-29	0.549	0.194
MigDC	MigDC	IL-1α	IL1a	Cd86	1.246155253	2.59464E-29	0.523	0.155
MigDC	MigDC	IL-1α	IL1a	Plk2	1.231187203	6.19537E-27	0.371	0.049
MigDC	MigDC	IL-1α	IL1a	Slc27a3	1.214294906	1.95361E-20	0.353	0.094
MigDC	MigDC	IL-1α	IL1a	Cd274	1.195432098	3.76677E-32	0.562	0.178
MigDC	MigDC	IL-1α	IL1a	St8sia4	1.154187811	2.5338E-24	0.676	0.33
MigDC	MigDC	IL-1α	IL1a	Crem	1.133629664	1.99316E-34	0.361	0.039
MigDC	MigDC	IL-1α	IL1a	Pik3r1	1.13217973	6.79666E-34	0.812	0.405
MigDC	MigDC	IL-1α	IL1a	Rel	1.130590178	1.18294E-30	0.804	0.479
MigDC	MigDC	IL-1α	IL1a	Cd80	1.118412216	1.4266E-32	0.353	0.035
MigDC	MigDC	IL-1α	IL1a	Epb41	1.103661561	3.80376E-22	0.414	0.118
MigDC	MigDC	IL-1α	IL1a	Jaml	1.091354231	6.23418E-20	0.318	0.06
MigDC	MigDC	IL-1α	IL1a	Ptpn1	1.077107546	2.99935E-29	0.546	0.206
MigDC	MigDC	IL-1α	IL1a	Fabp5	1.055792971	7.61903E-06	0.719	0.622
MigDC	MigDC	IL-1α	IL1a	Pik3r5	1.041130986	1.49807E-32	0.557	0.169
MigDC	MigDC	IL-1α	IL1a	Ehd1	1.04100788	1.86432E-33	0.56	0.168
MigDC	MigDC	IL-1α	IL1a	Glipr2	1.006802402	4.35921E-23	0.65	0.304
MigDC	MigDC	IL-1α	IL1a	P2ry10	1.001641734	2.01865E-24	0.462	0.118
MigDC	MigDC	IL-1α	IL1a	Rap2a	0.967449266	2.44119E-32	0.52	0.161
MigDC	MigDC	IL-1α	IL1a	Tcf4	0.949604184	1.27608E-15	0.523	0.24
MigDC	MigDC	IL-1α	IL1a	Serpina3g	0.935098414	3.38278E-22	0.416	0.133
MigDC	MigDC	IL-1α	IL1a	Nfil3	0.907954352	2.40561E-29	0.377	0.043
MigDC	MigDC	IL-1α	IL1a	Anxa2	0.888727644	2.61058E-18	0.78	0.519
MigDC	MigDC	IL-1α	IL1a	Cish	0.885448784	6.16537E-30	0.284	0.01
MigDC	MigDC	IL-1α	IL1a	Pde4b	0.850093503	5.79096E-15	0.493	0.212
MigDC	MigDC	IL-1α	IL1a	Bcl2a1b	0.845995986	3.38278E-22	0.857	0.711
MigDC	MigDC	IL-1α	IL1a	Stxbp6	0.834131678	1.7135E-21	0.337	0.075
MigDC	MigDC	IL-1α	IL1a	Bcl2a1d	0.83406567	8.70001E-24	0.798	0.558
MigDC	MigDC	IL-1α	IL1a	Ncoa7	0.829251448	1.03593E-14	0.459	0.201
MigDC	MigDC	IL-1α	IL1a	Tspan13	0.827446815	9.5306E-17	0.454	0.205
MigDC	MigDC	IL-1α	IL1a	Ly75	0.822600737	1.27608E-15	0.613	0.323
