Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
Monocyte	Monocyte	IL-1α	IL1a	Ccl24	4.314455503	8.93326E-06	0.657	0
Monocyte	Monocyte	IL-1α	IL1a	Fabp5	4.169057878	8.77838E-08	0.971	0.378
Monocyte	Monocyte	IL-1α	IL1a	Sdc4	3.562622983	8.96542E-08	0.857	0.054
Monocyte	Monocyte	IL-1α	IL1a	Dab2	3.080112781	5.89022E-08	0.857	0.027
Monocyte	Monocyte	IL-1α	IL1a	Thbs1	2.932556496	0.001087125	0.6	0.081
Monocyte	Monocyte	IL-1α	IL1a	Bcl2a1b	2.635792968	2.68454E-05	0.857	0.297
Monocyte	Monocyte	IL-1α	IL1a	Srgn	2.598302621	5.89022E-08	0.971	0.892
Monocyte	Monocyte	IL-1α	IL1a	Ccl2	2.510730638	0.03375428	0.543	0.162
Monocyte	Monocyte	IL-1α	IL1a	Ccr1	2.506307297	5.89022E-08	0.971	0.135
Monocyte	Monocyte	IL-1α	IL1a	Ms4a6d	2.393236055	1.71022E-07	1	0.595
Monocyte	Monocyte	IL-1α	IL1a	Mafb	2.268042166	6.17841E-06	0.943	0.351
Monocyte	Monocyte	IL-1α	IL1a	Jaml	2.236077312	8.93326E-06	0.857	0.27
Monocyte	Monocyte	IL-1α	IL1a	C5ar1	2.189506542	1.93965E-06	0.743	0.027
Monocyte	Monocyte	IL-1α	IL1a	Lgmn	2.174814026	2.68454E-05	0.8	0.189
Monocyte	Monocyte	IL-1α	IL1a	Vcan	2.155887648	1.90032E-06	0.914	0.324
Monocyte	Monocyte	IL-1α	IL1a	Dmkn	2.140634814	0.000234047	0.543	0
Monocyte	Monocyte	IL-1α	IL1a	Tfec	2.09416014	7.45508E-08	0.857	0.027
Monocyte	Monocyte	IL-1α	IL1a	Adam8	2.089586093	1.09864E-06	0.8	0.054
Monocyte	Monocyte	IL-1α	IL1a	F10	2.081928335	6.44552E-06	0.886	0.297
Monocyte	Monocyte	IL-1α	IL1a	Sod2	2.070538006	0.00027331	0.829	0.432
Monocyte	Monocyte	IL-1α	IL1a	Bcl2a1d	2.043847197	5.0104E-05	0.743	0.135
Monocyte	Monocyte	IL-1α	IL1a	Ehd1	2.005490183	6.44552E-06	0.886	0.297
Monocyte	Monocyte	IL-1α	IL1a	Ninj1	1.965567488	6.44552E-06	0.943	0.432
Monocyte	Monocyte	IL-1α	IL1a	Clec4n	1.963772045	0.001826109	0.714	0.216
