Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
NK cell	NK_cell	IL-1α	IL1a	Ifngr1	1.815282173	1.88033E-26	0.896	0.596
NK cell	NK_cell	IL-1α	IL1a	Bcl2l11	1.352936492	3.22769E-13	0.519	0.168
NK cell	NK_cell	IL-1α	IL1a	Vps37b	1.308129453	2.80018E-11	0.632	0.301
NK cell	NK_cell	IL-1α	IL1a	Crem	1.241419452	1.5722E-13	0.292	0.047
NK cell	NK_cell	IL-1α	IL1a	Sh2d2a	1.137389723	4.45538E-09	0.623	0.332
NK cell	NK_cell	IL-1α	IL1a	Fam107b	1.125511947	2.17304E-08	0.585	0.29
NK cell	NK_cell	IL-1α	IL1a	Hvcn1	1.099458303	1.52234E-07	0.396	0.143
NK cell	NK_cell	IL-1α	IL1a	Serpinb6b	1.043048347	1.41285E-05	0.642	0.404
NK cell	NK_cell	IL-1α	IL1a	Litaf	1.019449145	2.99057E-10	0.264	0.051
NK cell	NK_cell	IL-1α	IL1a	Dgat1	1.015975048	4.41867E-12	0.264	0.032
NK cell	NK_cell	IL-1α	IL1a	Klrb1b	1.008819015	0.000123632	0.443	0.222
NK cell	NK_cell	IL-1α	IL1a	Serpina3g	0.900364272	0.005358102	0.566	0.379
NK cell	NK_cell	IL-1α	IL1a	Irf8	0.874294681	0.043006094	0.547	0.396
NK cell	NK_cell	IL-1α	IL1a	Txnip	0.872529639	5.00442E-05	0.689	0.497
NK cell	NK_cell	IL-1α	IL1a	Celf2	0.85936393	5.69214E-05	0.698	0.522
NK cell	NK_cell	IL-1α	IL1a	Serpinb9	0.842526963	0.000487978	0.575	0.357
NK cell	NK_cell	IL-1α	IL1a	Tsc22d3	0.836638922	1.16336E-05	0.575	0.303
NK cell	NK_cell	IL-1α	IL1a	Stat3	0.814398845	0.039865472	0.396	0.256
NK cell	NK_cell	IL-1α	IL1a	Ptpn22	0.789431175	0.001309519	0.575	0.416
NK cell	NK_cell	IL-1α	IL1a	Arap2	0.782212607	0.001426819	0.453	0.239
NK cell	NK_cell	IL-1α	IL1a	Itgb3	0.77323049	2.30877E-05	0.17	0.035
NK cell	NK_cell	IL-1α	IL1a	Irak2	0.767769222	7.71521E-07	0.198	0.045
NK cell	NK_cell	IL-1α	IL1a	Apobec3	0.763698986	5.63785E-05	0.708	0.488
NK cell	NK_cell	IL-1α	IL1a	P2ry10	0.756406422	0.003795972	0.292	0.135
NK cell	NK_cell	IL-1α	IL1a	Il2rb	0.708571056	3.51832E-05	0.943	0.835
NK cell	NK_cell	IL-1α	IL1a	Sult2b1	0.703007277	5.41887E-07	0.123	0.012
NK cell	NK_cell	IL-1α	IL1a	Tnfrsf18	0.697984748	0.030279539	0.472	0.328
NK cell	NK_cell	IL-1α	IL1a	Epb41	0.695308541	0.002983297	0.311	0.13
NK cell	NK_cell	IL-1α	IL1a	Tnfrsf9	0.694339817	0.022880777	0.264	0.114
NK cell	NK_cell	IL-1α	IL1a	Fasl	0.692627047	0.010128315	0.406	0.231
NK cell	NK_cell	IL-1α	IL1a	Emb	0.689565682	1.30649E-06	0.811	0.564
NK cell	NK_cell	IL-1α	IL1a	Camk4	0.689000076	5.25652E-05	0.142	0.024
NK cell	NK_cell	IL-1α	IL1a	Sft2d2	0.680492554	0.007246401	0.245	0.098
NK cell	NK_cell	IL-1α	IL1a	Cytip	0.677464877	0.005503789	0.604	0.412
NK cell	NK_cell	IL-1α	IL1a	Sipa1l1	0.674803015	5.63785E-05	0.264	0.093
NK cell	NK_cell	IL-1α	IL1a	Tmem106b	0.667839015	0.002897708	0.255	0.091
NK cell	NK_cell	IL-1α	IL1a	Mosmo	0.6672041	0.022050758	0.236	0.096
NK cell	NK_cell	IL-1α	IL1a	Fth1	0.65932159	0.004681772	0.943	0.939
NK cell	NK_cell	IL-1α	IL1a	Mknk2	0.628791273	0.030279539	0.453	0.286
NK cell	NK_cell	IL-1α	IL1a	Prdx6	0.620451852	0.040432913	0.472	0.33
NK cell	NK_cell	IL-1α	IL1a	Fabp5	0.612771674	0.030279539	0.142	0.047
