Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
Neutrophil	Neutrophil	IL-1α	IL1a	Cxcl3	5.563171773	3.29236E-06	0.757	0
Neutrophil	Neutrophil	IL-1α	IL1a	Fcgr2b	3.330959282	1.42665E-05	0.7	0
Neutrophil	Neutrophil	IL-1α	IL1a	Wfdc17	3.118911271	0.000105685	0.829	0.357
Neutrophil	Neutrophil	IL-1α	IL1a	Cish	3.007666977	5.52584E-05	0.657	0
Neutrophil	Neutrophil	IL-1α	IL1a	Xbp1	2.981976534	8.18837E-07	0.929	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Rnasel	2.91133592	9.11996E-06	0.786	0.107
Neutrophil	Neutrophil	IL-1α	IL1a	Cd14	2.761173107	9.11996E-06	0.871	0.25
Neutrophil	Neutrophil	IL-1α	IL1a	Plaur	2.706261741	0.000206199	0.714	0.107
Neutrophil	Neutrophil	IL-1α	IL1a	Ifitm6	2.679598831	0.026115745	0.643	0.321
Neutrophil	Neutrophil	IL-1α	IL1a	Tarm1	2.676446258	0.002157802	0.529	0
Neutrophil	Neutrophil	IL-1α	IL1a	Il1r2	2.675660291	5.45969E-07	0.971	0.357
Neutrophil	Neutrophil	IL-1α	IL1a	Ffar2	2.670964052	0.021051394	0.429	0
Neutrophil	Neutrophil	IL-1α	IL1a	Cd177	2.581124817	0.000206199	0.7	0.107
Neutrophil	Neutrophil	IL-1α	IL1a	Thbs1	2.52644506	0.019893018	0.614	0.179
Neutrophil	Neutrophil	IL-1α	IL1a	Id1	2.472203263	0.000206199	0.7	0.107
Neutrophil	Neutrophil	IL-1α	IL1a	Lcn2	2.447228323	0.016259394	0.757	0.393
Neutrophil	Neutrophil	IL-1α	IL1a	Ier3	2.442196029	1.4816E-06	0.943	0.393
Neutrophil	Neutrophil	IL-1α	IL1a	Tes	2.368577948	0.002157802	0.586	0.036
Neutrophil	Neutrophil	IL-1α	IL1a	Rhoh	2.333090587	0.004085679	0.5	0
Neutrophil	Neutrophil	IL-1α	IL1a	Slfn4	2.19361127	0.001948979	0.786	0.286
Neutrophil	Neutrophil	IL-1α	IL1a	Ptpn1	2.17284917	6.04606E-06	0.9	0.357
Neutrophil	Neutrophil	IL-1α	IL1a	Ccl6	2.080828213	3.68567E-05	0.986	0.714
Neutrophil	Neutrophil	IL-1α	IL1a	Basp1	2.069051471	0.001646685	0.729	0.179
Neutrophil	Neutrophil	IL-1α	IL1a	Cd33	2.045467699	3.88892E-06	0.929	0.429
Neutrophil	Neutrophil	IL-1α	IL1a	Glipr2	2.044626062	0.006428302	0.629	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Cd300lf	2.034601272	0.000206199	0.871	0.464
Neutrophil	Neutrophil	IL-1α	IL1a	Cd164	2.00246089	0.005735544	0.586	0.071
Neutrophil	Neutrophil	IL-1α	IL1a	Fth1	1.979803649	2.4868E-05	1	1
Neutrophil	Neutrophil	IL-1α	IL1a	Wfdc21	1.968850739	0.008138198	0.771	0.357
Neutrophil	Neutrophil	IL-1α	IL1a	Rab44	1.925284549	0.004563932	0.629	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Nampt	1.873622584	0.032661547	0.6	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Trpv2	1.831083149	0.033238326	0.457	0.036
Neutrophil	Neutrophil	IL-1α	IL1a	Srgn	1.731665212	7.39046E-07	1	1
Neutrophil	Neutrophil	IL-1α	IL1a	Mbd2	1.671201574	0.003954784	0.686	0.143
Neutrophil	Neutrophil	IL-1α	IL1a	Lrg1	1.670122775	0.002539603	0.829	0.5
Neutrophil	Neutrophil	IL-1α	IL1a	Lilr4b	1.525553047	0.004583114	0.914	0.536
Neutrophil	Neutrophil	IL-1α	IL1a	Cmtm6	1.493504107	0.038168466	0.657	0.214
Neutrophil	Neutrophil	IL-1α	IL1a	Ccr1	1.420392417	0.003157831	0.957	0.857
Neutrophil	Neutrophil	IL-1α	IL1a	Cxcl2	1.381362581	0.006491919	0.957	0.429
Neutrophil	Neutrophil	IL-1α	IL1a	Cd47	1.274057253	0.018329424	0.857	0.5
Neutrophil	Neutrophil	IL-1α	IL1a	Cd53	1.273650483	0.004881916	0.914	0.643
Neutrophil	Neutrophil	IL-1α	IL1a	Fcgr3	1.186040966	0.028432542	0.9	0.536
Neutrophil	Neutrophil	IL-1α	IL1a	Cxcr2	1.009037094	0.043472799	0.957	0.75
Neutrophil	Neutrophil	IL-1α	IL1a	Tyrobp	-0.64765229	0.021007527	0.986	1
Neutrophil	Neutrophil	IL-1α	IL1a	Fau	-0.689437425	0.024704801	1	1
Neutrophil	Neutrophil	IL-1α	IL1a	Msrb1	-1.092336618	0.000914275	0.914	1
Neutrophil	Neutrophil	IL-1α	IL1a	Csf3r	-1.093232287	0.004085679	0.829	1
Neutrophil	Neutrophil	IL-1α	IL1a	Zfp36	-1.170716943	0.003628736	0.814	0.964
Neutrophil	Neutrophil	IL-1α	IL1a	Xrn1	-1.185089122	0.027817761	0	0.214
Neutrophil	Neutrophil	IL-1α	IL1a	Mrpl33	-1.189136736	0.011539795	0.543	0.786
Neutrophil	Neutrophil	IL-1α	IL1a	Stk17b	-1.209670189	0.003123937	0.671	0.893
Neutrophil	Neutrophil	IL-1α	IL1a	Mmp9	-1.242441549	0.007857962	0.514	0.893
Neutrophil	Neutrophil	IL-1α	IL1a	Rbm38	-1.29865705	0.007857962	0	0.25
Neutrophil	Neutrophil	IL-1α	IL1a	Pglyrp1	-1.338943519	0.003802275	0.414	0.821
Neutrophil	Neutrophil	IL-1α	IL1a	Ogt	-1.41412503	0.032661547	0.157	0.536
