Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ly6a	2.141844493	2.97059E-65	0.796	0.286
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Igfbp4	2.062903172	5.28145E-75	0.86	0.499
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Socs3	2.010702123	4.40919E-73	0.596	0.047
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ndrg3	1.614243879	8.97011E-54	0.6	0.159
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ifngr1	1.366563776	1.10926E-33	0.528	0.154
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Arid5b	1.168687156	3.77554E-26	0.447	0.131
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Bcl3	1.166675121	1.90032E-29	0.311	0.026
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Socs1	1.117208478	1.3558E-22	0.385	0.086
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Stat3	1.028991586	1.68653E-25	0.477	0.18
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Apobec3	1.022820716	2.03304E-20	0.539	0.235
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Arid5a	1.018274713	1.8555E-19	0.393	0.133
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Mxd1	0.974428193	2.64634E-26	0.281	0.046
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ly6e	0.915512134	5.07626E-40	0.94	0.723
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Cdkn2d	0.881615572	5.63767E-20	0.489	0.243
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Nfkbia	0.862143375	7.68307E-10	0.484	0.281
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Gbp2	0.85857158	9.33662E-14	0.276	0.077
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Myl12b	0.856113285	1.08038E-26	0.874	0.672
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Zbp1	0.851707781	7.56618E-16	0.348	0.127
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Gadd45g	0.814273657	6.073E-19	0.166	0.009
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Cd53	0.81120171	1.72067E-27	0.819	0.598
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Sbno2	0.776746166	4.13642E-13	0.295	0.089
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Gramd3	0.768028644	2.62721E-13	0.363	0.155
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Tcf7	0.7650396	5.63767E-20	0.83	0.636
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Satb1	0.750967455	4.10299E-18	0.829	0.681
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Chmp4b	0.741047532	4.20598E-15	0.494	0.269
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Tnfrsf18	0.719184301	4.01847E-09	0.355	0.178
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ssh2	0.711729737	9.26689E-19	0.554	0.341
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Il21r	0.703057105	2.15067E-11	0.428	0.238
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Gpr18	0.674831512	5.54438E-15	0.327	0.147
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Rapgef6	0.666723802	1.4954E-16	0.756	0.585
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ube2s	0.659354182	6.1027E-12	0.495	0.3
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ifi27l2a	0.654778137	3.48205E-10	0.755	0.615
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Samhd1	0.636761852	8.99888E-07	0.588	0.414
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Trib2	0.633894697	3.16596E-13	0.378	0.196
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Crem	0.615992251	1.33124E-06	0.149	0.025
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Sgk1	0.599027471	2.14714E-07	0.21	0.073
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Isg15	0.584996153	1.29199E-07	0.215	0.078
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Fam102a	0.581611517	8.83173E-07	0.41	0.231
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Hif1a	0.580125207	0.000190008	0.256	0.13
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Etv6	0.57028971	7.51001E-12	0.141	0.016
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Pja1	0.56421456	2.14679E-12	0.234	0.082
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Cblb	0.56209225	2.58025E-05	0.264	0.126
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Flot1	0.551117131	4.65009E-11	0.167	0.042
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Parp14	0.549897664	5.34683E-11	0.311	0.152
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ppa1	0.53672701	0.001818891	0.247	0.127
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Crybg1	0.535701455	2.10439E-09	0.207	0.077
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Serinc3	0.534511586	7.5717E-06	0.353	0.195
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Cytip	0.534145337	6.68591E-06	0.737	0.601
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Zfp281	0.533812245	3.1576E-05	0.273	0.134
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Elovl6	0.530031045	9.97307E-10	0.131	0.016
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Tsc22d3	0.521966073	0.003261026	0.541	0.381
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Zfp36l2	0.512953001	0.000566173	0.621	0.454
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Pgs1	0.504093935	5.35392E-06	0.265	0.124
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Rnf19a	0.501881355	0.007729446	0.184	0.071
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Pmepa1	0.492785307	0.000172412	0.15	0.042
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Psmb10	0.488644654	5.61224E-06	0.519	0.358
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Psme2	0.486976997	3.78605E-06	0.657	0.511
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ifi47	0.485818762	1.75934E-06	0.471	0.329
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Trim30a	0.482471434	0.001091333	0.295	0.174
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Mapkapk2	0.480860131	2.27924E-05	0.182	0.066
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Batf	0.478595667	2.85671E-05	0.213	0.094
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Sdf4	0.476548177	5.87733E-05	0.465	0.339
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Arl6ip5	0.474889357	1.02162E-06	0.41	0.262
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Gpr171	0.473681156	0.009119408	0.212	0.1
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Iigp1	0.471750007	2.63029E-06	0.122	0.04
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Treml2	0.468317749	5.63334E-07	0.242	0.109
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Ldha	0.468141381	5.86016E-06	0.683	0.553
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Vps37b	0.465593818	0.000805133	0.341	0.23
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Arap2	0.462934999	2.63415E-05	0.257	0.15
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Vars	0.462875145	0.001037809	0.21	0.103
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Zcchc11	0.459485352	0.00016196	0.392	0.26
CD4+ T cell	T_cell_CD4	IL-1α	IL1a	Rnf213	0.456785952	0.003379703	0.218	0.122
