Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
γδ T cell	T_cell_gd	IL-1α	IL1a	Gzmc	4.024969959	2.04195E-34	0.333	0.006
γδ T cell	T_cell_gd	IL-1α	IL1a	Il22	3.251146607	8.81554E-11	0.152	0.013
γδ T cell	T_cell_gd	IL-1α	IL1a	Il17f	2.895301379	2.13457E-17	0.169	0.004
γδ T cell	T_cell_gd	IL-1α	IL1a	Odc1	2.507243206	1.25211E-18	0.541	0.275
γδ T cell	T_cell_gd	IL-1α	IL1a	Gzmb	2.490890441	2.44714E-40	0.368	0.009
γδ T cell	T_cell_gd	IL-1α	IL1a	Il17a	2.313588948	1.09173E-09	0.126	0.012
γδ T cell	T_cell_gd	IL-1α	IL1a	Sdc4	1.959565673	8.36356E-29	0.355	0.035
γδ T cell	T_cell_gd	IL-1α	IL1a	Ly6a	1.708997485	1.01372E-17	0.58	0.278
γδ T cell	T_cell_gd	IL-1α	IL1a	Ncl	1.65435352	3.84685E-20	0.814	0.673
γδ T cell	T_cell_gd	IL-1α	IL1a	Npm1	1.559975232	7.70163E-32	0.935	0.915
γδ T cell	T_cell_gd	IL-1α	IL1a	Bcl2a1b	1.508837538	1.80466E-16	0.554	0.298
γδ T cell	T_cell_gd	IL-1α	IL1a	Ehd1	1.438194029	1.77923E-22	0.433	0.105
γδ T cell	T_cell_gd	IL-1α	IL1a	Bcl2a1d	1.396267104	1.20709E-15	0.442	0.161
γδ T cell	T_cell_gd	IL-1α	IL1a	Batf	1.38915347	1.96821E-23	0.476	0.123
γδ T cell	T_cell_gd	IL-1α	IL1a	Marcksl1	1.327217881	4.55638E-30	0.355	0.036
γδ T cell	T_cell_gd	IL-1α	IL1a	Cd82	1.311834765	9.40921E-21	0.71	0.43
γδ T cell	T_cell_gd	IL-1α	IL1a	Eif5a	1.287244561	5.04507E-17	0.853	0.761
γδ T cell	T_cell_gd	IL-1α	IL1a	Nfkb1	1.264580373	2.51665E-19	0.632	0.339
γδ T cell	T_cell_gd	IL-1α	IL1a	Srgn	1.209690281	1.66737E-13	0.848	0.782
γδ T cell	T_cell_gd	IL-1α	IL1a	Ppp1r14b	1.196962479	1.03733E-10	0.68	0.572
γδ T cell	T_cell_gd	IL-1α	IL1a	Pa2g4	1.160102439	2.05301E-19	0.524	0.206
γδ T cell	T_cell_gd	IL-1α	IL1a	Furin	1.157010128	2.44731E-11	0.472	0.232
γδ T cell	T_cell_gd	IL-1α	IL1a	Zeb2	1.128788598	6.72212E-23	0.307	0.023
γδ T cell	T_cell_gd	IL-1α	IL1a	Tspan3	1.118853435	3.11009E-15	0.268	0.058
γδ T cell	T_cell_gd	IL-1α	IL1a	Manf	1.092287678	2.48417E-08	0.615	0.416
γδ T cell	T_cell_gd	IL-1α	IL1a	Ran	1.075160297	3.26868E-17	0.749	0.588
γδ T cell	T_cell_gd	IL-1α	IL1a	Igfbp4	1.073171204	0.002244739	0.203	0.098
γδ T cell	T_cell_gd	IL-1α	IL1a	Serp1	1.066903006	8.95071E-09	0.476	0.283
γδ T cell	T_cell_gd	IL-1α	IL1a	Psme2	1.060872161	1.94757E-17	0.788	0.561
γδ T cell	T_cell_gd	IL-1α	IL1a	Tnfrsf9	1.06013187	4.51365E-19	0.264	0.026
γδ T cell	T_cell_gd	IL-1α	IL1a	Kdm2b	1.058636976	1.75739E-11	0.342	0.116
γδ T cell	T_cell_gd	IL-1α	IL1a	Ranbp1	1.056507581	3.55285E-12	0.636	0.401
γδ T cell	T_cell_gd	IL-1α	IL1a	Ppa1	1.027520734	9.64901E-24	0.506	0.149
γδ T cell	T_cell_gd	IL-1α	IL1a	Nhp2	1.008766959	4.04189E-14	0.524	0.258
γδ T cell	T_cell_gd	IL-1α	IL1a	Pdcd1	0.978201775	1.17373E-19	0.255	0.023
γδ T cell	T_cell_gd	IL-1α	IL1a	Pdia6	0.971388447	2.52235E-07	0.528	0.341
γδ T cell	T_cell_gd	IL-1α	IL1a	Dennd5a	0.969886146	1.25211E-18	0.359	0.085
γδ T cell	T_cell_gd	IL-1α	IL1a	Cd83	0.961230211	1.23134E-10	0.247	0.051
