Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
Treg	Treg	IL-1α	IL1a	Tnfrsf9	2.91133909	1.67727E-32	0.59	0.207
Treg	Treg	IL-1α	IL1a	Crem	1.983148592	1.23951E-46	0.58	0.082
Treg	Treg	IL-1α	IL1a	Odc1	1.802861495	1.24742E-26	0.613	0.262
Treg	Treg	IL-1α	IL1a	Ifngr1	1.685396915	1.05404E-36	0.65	0.243
Treg	Treg	IL-1α	IL1a	Tnfrsf4	1.677253452	4.59418E-33	0.863	0.599
Treg	Treg	IL-1α	IL1a	Socs3	1.671003131	2.23897E-34	0.467	0.07
Treg	Treg	IL-1α	IL1a	Stat3	1.618559688	9.85907E-38	0.663	0.225
Treg	Treg	IL-1α	IL1a	Sdf4	1.556099878	1.4631E-26	0.787	0.509
Treg	Treg	IL-1α	IL1a	Tnfrsf18	1.458442308	8.05167E-37	0.86	0.624
Treg	Treg	IL-1α	IL1a	Ly6a	1.310689282	4.17019E-08	0.433	0.224
Treg	Treg	IL-1α	IL1a	Pdcd1	1.302671149	3.10498E-15	0.357	0.122
Treg	Treg	IL-1α	IL1a	Mlec	1.292685349	1.68782E-17	0.403	0.134
Treg	Treg	IL-1α	IL1a	Hif1a	1.29265257	4.52108E-27	0.703	0.327
Treg	Treg	IL-1α	IL1a	Hopx	1.289702754	1.22644E-10	0.47	0.228
Treg	Treg	IL-1α	IL1a	Zeb1	1.280826732	2.13564E-21	0.45	0.128
Treg	Treg	IL-1α	IL1a	Fth1	1.277750122	1.24742E-26	0.963	0.959
Treg	Treg	IL-1α	IL1a	Id2	1.20520907	3.29215E-10	0.42	0.196
Treg	Treg	IL-1α	IL1a	Ramp3	1.204809968	1.50359E-13	0.163	0.01
Treg	Treg	IL-1α	IL1a	Ndrg3	1.159550103	1.1335E-09	0.303	0.113
Treg	Treg	IL-1α	IL1a	P2ry10	1.100111819	4.92449E-21	0.477	0.167
Treg	Treg	IL-1α	IL1a	Emb	1.093935359	1.13913E-06	0.523	0.348
Treg	Treg	IL-1α	IL1a	Isy1	1.083662289	1.69468E-14	0.373	0.124
Treg	Treg	IL-1α	IL1a	Cytip	1.082014245	2.06097E-26	0.8	0.473
Treg	Treg	IL-1α	IL1a	Arid5a	1.059312343	1.61228E-11	0.343	0.098
Treg	Treg	IL-1α	IL1a	Myl12b	1.035996637	2.87025E-19	0.797	0.634
Treg	Treg	IL-1α	IL1a	Dgat1	1.01762258	9.6702E-17	0.27	0.038
Treg	Treg	IL-1α	IL1a	Gpx4	0.972402075	2.26573E-12	0.743	0.59
Treg	Treg	IL-1α	IL1a	Mt1	0.944836533	0.000480744	0.137	0.034
Treg	Treg	IL-1α	IL1a	Sbno2	0.929202664	7.09597E-14	0.353	0.107
Treg	Treg	IL-1α	IL1a	Gpr18	0.914734506	1.19549E-12	0.257	0.062
Treg	Treg	IL-1α	IL1a	Bcl3	0.910040941	2.28279E-15	0.297	0.059
Treg	Treg	IL-1α	IL1a	Bmyc	0.905153502	0.003397276	0.377	0.264
Treg	Treg	IL-1α	IL1a	Il2rb	0.893505238	7.23535E-11	0.673	0.472
Treg	Treg	IL-1α	IL1a	Mif4gd	0.855738487	6.4317E-10	0.437	0.196
Treg	Treg	IL-1α	IL1a	Gramd3	0.844356851	3.88378E-11	0.243	0.056
Treg	Treg	IL-1α	IL1a	Vps37b	0.835814769	2.17524E-06	0.267	0.115
Treg	Treg	IL-1α	IL1a	Itpk1	0.833534769	1.66643E-10	0.263	0.068
Treg	Treg	IL-1α	IL1a	Ostf1	0.821830681	0.000456712	0.373	0.256
Treg	Treg	IL-1α	IL1a	Ctla4	0.81999401	1.99201E-09	0.68	0.449
Treg	Treg	IL-1α	IL1a	Wnk1	0.812810603	7.65428E-06	0.653	0.568
Treg	Treg	IL-1α	IL1a	Arpc3	0.78089343	1.16935E-09	0.767	0.662
Treg	Treg	IL-1α	IL1a	Serinc3	0.778712982	3.22469E-07	0.61	0.365
Treg	Treg	IL-1α	IL1a	Kbtbd11	0.77427469	2.3532E-07	0.427	0.222
Treg	Treg	IL-1α	IL1a	Gbp2	0.771074289	4.83144E-06	0.27	0.122
Treg	Treg	IL-1α	IL1a	Serpinb6b	0.769123176	6.79706E-07	0.2	0.06
Treg	Treg	IL-1α	IL1a	Crybg1	0.764746234	2.31325E-10	0.23	0.055
Treg	Treg	IL-1α	IL1a	Ccr7	0.759356116	0.002282827	0.35	0.246
Treg	Treg	IL-1α	IL1a	Actg1	0.751118818	1.42525E-17	0.993	0.958
Treg	Treg	IL-1α	IL1a	Chmp4b	0.750110588	1.71619E-08	0.47	0.264
Treg	Treg	IL-1α	IL1a	Fosl2	0.746985721	8.39329E-12	0.173	0.029
Treg	Treg	IL-1α	IL1a	Eif5a	0.739535927	1.69465E-11	0.817	0.681
Treg	Treg	IL-1α	IL1a	Mxd1	0.731558066	1.01837E-09	0.307	0.111
Treg	Treg	IL-1α	IL1a	Ptpn1	0.727934246	1.47066E-07	0.567	0.374
Treg	Treg	IL-1α	IL1a	Ptpn22	0.727810696	0.000121629	0.46	0.297
Treg	Treg	IL-1α	IL1a	Arid5b	0.720656452	1.68137E-07	0.45	0.248
Treg	Treg	IL-1α	IL1a	Gadd45g	0.719163954	2.32408E-09	0.15	0.02
Treg	Treg	IL-1α	IL1a	Ssh2	0.714384556	2.3532E-07	0.507	0.311
Treg	Treg	IL-1α	IL1a	Jak2	0.704803424	1.17415E-06	0.263	0.104
