Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
cDC1	cDC1	IL-1α	IL1a	Ccl17	3.785569624	6.22512E-70	0.731	0.007
cDC1	cDC1	IL-1α	IL1a	Serpina3g	2.778112784	9.70376E-39	0.935	0.406
cDC1	cDC1	IL-1α	IL1a	Wfdc17	2.655966246	1.00805E-64	0.871	0.079
cDC1	cDC1	IL-1α	IL1a	Ifitm2	2.468374447	3.6087E-40	0.882	0.267
cDC1	cDC1	IL-1α	IL1a	Mkrn1	2.34966118	2.60863E-42	0.989	0.678
cDC1	cDC1	IL-1α	IL1a	Mt1	2.0409795	8.57017E-27	0.796	0.317
cDC1	cDC1	IL-1α	IL1a	Cytip	1.934715917	5.72316E-33	0.957	0.654
cDC1	cDC1	IL-1α	IL1a	Kmo	1.906363529	5.78209E-38	0.925	0.368
cDC1	cDC1	IL-1α	IL1a	Cdkn1a	1.839289457	4.03071E-34	0.699	0.123
cDC1	cDC1	IL-1α	IL1a	Ifi205	1.825132728	2.60656E-33	0.968	0.832
cDC1	cDC1	IL-1α	IL1a	Xbp1	1.81003481	1.57999E-31	0.892	0.49
cDC1	cDC1	IL-1α	IL1a	Plet1	1.752195554	4.3723E-40	0.452	0.005
cDC1	cDC1	IL-1α	IL1a	Pfkp	1.740062376	1.58245E-31	0.946	0.526
cDC1	cDC1	IL-1α	IL1a	Ifitm3	1.649173162	1.2793E-07	0.538	0.269
cDC1	cDC1	IL-1α	IL1a	Wnk1	1.628531114	1.52971E-21	0.957	0.793
cDC1	cDC1	IL-1α	IL1a	Rap2a	1.625026811	1.37079E-37	0.774	0.178
cDC1	cDC1	IL-1α	IL1a	Bcl2a1b	1.606723742	4.18225E-16	0.828	0.478
cDC1	cDC1	IL-1α	IL1a	Ccr7	1.599845009	0.025847495	0.204	0.091
cDC1	cDC1	IL-1α	IL1a	Cdk2ap2	1.593781728	2.31329E-16	0.925	0.772
cDC1	cDC1	IL-1α	IL1a	Il1b	1.544247506	3.10895E-10	0.516	0.204
cDC1	cDC1	IL-1α	IL1a	Ccnd2	1.496858422	5.02461E-12	0.419	0.123
cDC1	cDC1	IL-1α	IL1a	AA467197	1.495366242	2.49702E-43	0.484	0.005
cDC1	cDC1	IL-1α	IL1a	Fth1	1.458522293	1.16479E-38	1	0.995
cDC1	cDC1	IL-1α	IL1a	Bcl2l11	1.447313212	6.92673E-25	0.677	0.175
cDC1	cDC1	IL-1α	IL1a	Bcl2a1d	1.420785913	9.79926E-22	0.968	0.709
cDC1	cDC1	IL-1α	IL1a	Ptpn1	1.375075093	1.88253E-23	0.817	0.406
cDC1	cDC1	IL-1α	IL1a	Ms4a6d	1.349846143	9.73711E-35	0.43	0.012
cDC1	cDC1	IL-1α	IL1a	Irf5	1.341954396	1.01422E-28	0.968	0.752
cDC1	cDC1	IL-1α	IL1a	Tnfrsf13b	1.336603476	6.1088E-18	0.57	0.163
cDC1	cDC1	IL-1α	IL1a	Gnb4	1.329503335	3.82113E-20	0.677	0.264
cDC1	cDC1	IL-1α	IL1a	Picalm	1.328251997	1.38909E-25	0.914	0.517
cDC1	cDC1	IL-1α	IL1a	Cish	1.323629814	1.78873E-51	0.591	0.012
cDC1	cDC1	IL-1α	IL1a	Kctd12	1.289026505	3.30068E-22	0.957	0.803
cDC1	cDC1	IL-1α	IL1a	Bcl2a1a	1.261599133	8.78873E-10	0.785	0.594
cDC1	cDC1	IL-1α	IL1a	Slfn2	1.253131482	9.95969E-21	0.892	0.671
cDC1	cDC1	IL-1α	IL1a	Litaf	1.229072143	5.45792E-19	0.753	0.358
cDC1	cDC1	IL-1α	IL1a	Chd7	1.20162652	6.51251E-28	0.785	0.24
cDC1	cDC1	IL-1α	IL1a	Scimp	1.184547248	1.69198E-21	0.806	0.365
cDC1	cDC1	IL-1α	IL1a	Cmtm6	1.115628383	3.88171E-18	0.72	0.322
cDC1	cDC1	IL-1α	IL1a	Plac8	1.099934891	2.93219E-06	0.763	0.68
cDC1	cDC1	IL-1α	IL1a	Tmem131l	1.092583813	5.92247E-14	0.806	0.476
cDC1	cDC1	IL-1α	IL1a	Rbm47	1.077032903	1.53887E-17	0.688	0.267
cDC1	cDC1	IL-1α	IL1a	Orai1	1.074711749	7.365E-20	0.828	0.507
cDC1	cDC1	IL-1α	IL1a	Atp1a1	1.073514419	1.5108E-16	0.882	0.596
cDC1	cDC1	IL-1α	IL1a	Gpr171	1.071999981	1.73632E-16	0.677	0.276
cDC1	cDC1	IL-1α	IL1a	Gatm	1.062890213	6.01851E-13	0.892	0.623
cDC1	cDC1	IL-1α	IL1a	Pim1	1.0337464	1.21822E-15	0.903	0.625
cDC1	cDC1	IL-1α	IL1a	Srgn	1.015779483	2.32097E-19	0.989	0.909
cDC1	cDC1	IL-1α	IL1a	Riok3	1.013744464	1.20956E-16	0.753	0.409
cDC1	cDC1	IL-1α	IL1a	Fam49b	1.004788397	5.09168E-20	0.978	0.861
cDC1	cDC1	IL-1α	IL1a	Pik3r1	0.996221972	4.52758E-06	0.72	0.517
cDC1	cDC1	IL-1α	IL1a	Man1a	0.984813547	1.95474E-14	0.462	0.118
cDC1	cDC1	IL-1α	IL1a	Fkbp5	0.970927886	6.35306E-32	0.581	0.072
cDC1	cDC1	IL-1α	IL1a	Jak2	0.955371253	2.00283E-18	0.871	0.517
cDC1	cDC1	IL-1α	IL1a	Tle3	0.950710548	9.46385E-18	0.699	0.255
cDC1	cDC1	IL-1α	IL1a	Nr4a3	0.93823091	0.027532964	0.194	0.084
cDC1	cDC1	IL-1α	IL1a	Fabp5	0.936859595	0.000348114	0.333	0.156
cDC1	cDC1	IL-1α	IL1a	Socs3	0.930271777	1.7654E-25	0.484	0.058
cDC1	cDC1	IL-1α	IL1a	Slfn5	0.925376774	4.67673E-08	0.774	0.5
cDC1	cDC1	IL-1α	IL1a	Hhex	0.908526624	7.48751E-10	0.505	0.214
cDC1	cDC1	IL-1α	IL1a	Itgae	0.905771202	5.08416E-09	0.505	0.209
cDC1	cDC1	IL-1α	IL1a	Tspo	0.892493279	4.09619E-12	0.935	0.868
cDC1	cDC1	IL-1α	IL1a	Glipr2	0.890746382	3.2288E-25	0.484	0.058
cDC1	cDC1	IL-1α	IL1a	Tax1bp1	0.877330413	7.96057E-14	0.914	0.779
cDC1	cDC1	IL-1α	IL1a	Fh1	0.875995215	2.96983E-07	0.645	0.435
cDC1	cDC1	IL-1α	IL1a	Basp1	0.861034795	3.33269E-13	0.882	0.587
cDC1	cDC1	IL-1α	IL1a	Coro2a	0.859427502	5.03711E-11	0.645	0.349
cDC1	cDC1	IL-1α	IL1a	Crem	0.852537824	4.92076E-24	0.43	0.043
cDC1	cDC1	IL-1α	IL1a	Cxcl16	0.839481822	1.96445E-07	0.796	0.632
cDC1	cDC1	IL-1α	IL1a	Pnp	0.839444158	1.97122E-08	0.806	0.599
cDC1	cDC1	IL-1α	IL1a	Vdr	0.838479856	5.61515E-24	0.301	0.007
cDC1	cDC1	IL-1α	IL1a	Cd274	0.8281526	1.22269E-16	0.355	0.048
cDC1	cDC1	IL-1α	IL1a	Lrrk1	0.820742254	6.4514E-12	0.828	0.555
cDC1	cDC1	IL-1α	IL1a	Casp8	0.817027325	2.59788E-13	0.667	0.334
cDC1	cDC1	IL-1α	IL1a	Cd300a	0.816983449	2.77037E-19	0.484	0.094
cDC1	cDC1	IL-1α	IL1a	Prkcd	0.809082031	1.88168E-09	0.796	0.601
cDC1	cDC1	IL-1α	IL1a	Ciita	0.798206988	1.47247E-05	0.871	0.887
cDC1	cDC1	IL-1α	IL1a	Nckap1l	0.79624547	2.57127E-10	0.903	0.678
cDC1	cDC1	IL-1α	IL1a	Bbx	0.793870075	4.69729E-07	0.559	0.296
cDC1	cDC1	IL-1α	IL1a	Csf2rb	0.785506656	1.71144E-11	0.796	0.476
cDC1	cDC1	IL-1α	IL1a	Slc30a4	0.783393363	1.49475E-17	0.441	0.079
cDC1	cDC1	IL-1α	IL1a	Malt1	0.782296809	2.60464E-05	0.505	0.272
cDC1	cDC1	IL-1α	IL1a	Pacsin2	0.781006064	4.16954E-14	0.667	0.291
cDC1	cDC1	IL-1α	IL1a	Socs1	0.780378497	6.80978E-27	0.527	0.07
cDC1	cDC1	IL-1α	IL1a	Arl8b	0.775505516	2.25164E-12	0.645	0.32
cDC1	cDC1	IL-1α	IL1a	Sult1a1	0.762852665	3.47997E-06	0.71	0.567
cDC1	cDC1	IL-1α	IL1a	Fyn	0.761877172	4.20966E-13	0.72	0.351
cDC1	cDC1	IL-1α	IL1a	Ncoa7	0.753972336	0.028874294	0.581	0.421
cDC1	cDC1	IL-1α	IL1a	Ier3	0.753334565	0.000156931	0.258	0.089
cDC1	cDC1	IL-1α	IL1a	Cidea	0.749103521	6.54655E-36	0.398	0.002
cDC1	cDC1	IL-1α	IL1a	Ccl22	0.744909267	0.002314149	0.172	0.05
cDC1	cDC1	IL-1α	IL1a	Tes	0.744851491	1.63212E-09	0.731	0.423
cDC1	cDC1	IL-1α	IL1a	Slc33a1	0.738902006	1.62306E-15	0.527	0.142
cDC1	cDC1	IL-1α	IL1a	Hfe	0.730515916	0.009146704	0.677	0.584
cDC1	cDC1	IL-1α	IL1a	Dnase1l3	0.73000688	2.20301E-06	0.892	0.728
cDC1	cDC1	IL-1α	IL1a	Tspan13	0.729735948	1.91033E-07	0.806	0.69
cDC1	cDC1	IL-1α	IL1a	Lgmn	0.720031416	3.16129E-18	0.452	0.082
cDC1	cDC1	IL-1α	IL1a	Fnbp1l	0.71947844	3.4859E-12	0.495	0.151
cDC1	cDC1	IL-1α	IL1a	Tbc1d8	0.719012741	2.30458E-06	0.72	0.543
cDC1	cDC1	IL-1α	IL1a	Cxcl9	0.718940476	1.48446E-06	0.839	0.555
cDC1	cDC1	IL-1α	IL1a	Ndrg1	0.711185371	1.8688E-08	0.43	0.156
cDC1	cDC1	IL-1α	IL1a	Adam8	0.703166514	2.16043E-06	0.785	0.613
cDC1	cDC1	IL-1α	IL1a	Sdc4	0.700475693	9.33964E-18	0.344	0.038
cDC1	cDC1	IL-1α	IL1a	Runx1	0.700410858	2.21608E-06	0.57	0.334
cDC1	cDC1	IL-1α	IL1a	Atp1b3	0.693730708	1.13116E-06	0.699	0.483
cDC1	cDC1	IL-1α	IL1a	Etv3	0.69078607	0.000217208	0.613	0.397
cDC1	cDC1	IL-1α	IL1a	Pik3cg	0.687178296	3.21914E-07	0.505	0.245
cDC1	cDC1	IL-1α	IL1a	Ms4a4c	0.684959234	0.00014433	0.29	0.111
cDC1	cDC1	IL-1α	IL1a	Enah	0.683983026	6.11059E-20	0.344	0.031
cDC1	cDC1	IL-1α	IL1a	Timd4	0.678505962	2.43208E-08	0.269	0.06
cDC1	cDC1	IL-1α	IL1a	Reep3	0.67678191	6.51731E-07	0.656	0.416
cDC1	cDC1	IL-1α	IL1a	Bcl3	0.672622223	2.71444E-12	0.441	0.12
cDC1	cDC1	IL-1α	IL1a	Rnf19b	0.672091105	4.24238E-09	0.774	0.481
cDC1	cDC1	IL-1α	IL1a	Trim30a	0.670486189	9.25212E-10	0.86	0.618
cDC1	cDC1	IL-1α	IL1a	Mbd2	0.669335295	8.63457E-09	0.817	0.603
cDC1	cDC1	IL-1α	IL1a	Clec2d	0.667356167	1.22672E-08	0.828	0.603
cDC1	cDC1	IL-1α	IL1a	Jtb	0.661706685	5.36517E-08	0.763	0.548
cDC1	cDC1	IL-1α	IL1a	Mrps7	0.659823446	3.42437E-06	0.624	0.418
cDC1	cDC1	IL-1α	IL1a	Iscu	0.659701077	0.000101221	0.796	0.69
cDC1	cDC1	IL-1α	IL1a	Serinc3	0.659146492	1.65991E-07	0.828	0.702
cDC1	cDC1	IL-1α	IL1a	Tmem131	0.656181205	0.000250475	0.602	0.404
cDC1	cDC1	IL-1α	IL1a	Syngr2	0.654827376	2.18118E-08	0.946	0.928
cDC1	cDC1	IL-1α	IL1a	Gpcpd1	0.653654772	1.85902E-07	0.538	0.276
cDC1	cDC1	IL-1α	IL1a	Cd53	0.651959716	1.51153E-05	0.785	0.666
cDC1	cDC1	IL-1α	IL1a	Plek	0.651307056	1.05627E-10	0.882	0.666
cDC1	cDC1	IL-1α	IL1a	Plgrkt	0.649387072	1.21737E-05	0.581	0.353
cDC1	cDC1	IL-1α	IL1a	Myd88	0.64823442	8.77118E-10	0.559	0.243
cDC1	cDC1	IL-1α	IL1a	Rab7	0.64702774	2.85189E-06	0.871	0.788
cDC1	cDC1	IL-1α	IL1a	Hectd1	0.646328478	2.45985E-07	0.72	0.507
cDC1	cDC1	IL-1α	IL1a	Cldnd1	0.64174264	0.00022664	0.613	0.43
cDC1	cDC1	IL-1α	IL1a	S100a6	0.641360853	0.000698733	0.817	0.731
cDC1	cDC1	IL-1α	IL1a	Dock10	0.640154483	3.30337E-05	0.925	0.846
cDC1	cDC1	IL-1α	IL1a	Scand1	0.636611859	1.61994E-10	0.989	0.894
cDC1	cDC1	IL-1α	IL1a	Eps8	0.635697049	1.47138E-08	0.656	0.368
cDC1	cDC1	IL-1α	IL1a	Irf2bp2	0.63332024	1.32954E-05	0.753	0.567
cDC1	cDC1	IL-1α	IL1a	Foxn3	0.633182318	5.95558E-08	0.548	0.272
cDC1	cDC1	IL-1α	IL1a	Rabep1	0.628205072	3.37571E-07	0.505	0.248
cDC1	cDC1	IL-1α	IL1a	Cited2	0.625192773	0.004046307	0.656	0.534
cDC1	cDC1	IL-1α	IL1a	Arrdc4	0.622088389	4.73034E-11	0.57	0.233
cDC1	cDC1	IL-1α	IL1a	Mllt6	0.616594555	1.22469E-11	0.452	0.132
cDC1	cDC1	IL-1α	IL1a	Mif4gd	0.613760405	2.6092E-06	0.484	0.236
cDC1	cDC1	IL-1α	IL1a	Apobec3	0.609139905	9.28652E-10	0.989	0.877
cDC1	cDC1	IL-1α	IL1a	Ch25h	0.609055126	6.3197E-18	0.215	0.002
cDC1	cDC1	IL-1α	IL1a	Lrrc8c	0.608947473	1.68611E-05	0.409	0.202
cDC1	cDC1	IL-1α	IL1a	Fchsd2	0.599838932	6.57185E-05	0.806	0.678
cDC1	cDC1	IL-1α	IL1a	Rab14	0.59923156	1.19482E-09	0.935	0.76
