Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
eTAC	eTAC	IL-1α	IL1a	Ccl17	3.928368877	0.028437595	0.5	0
eTAC	eTAC	IL-1α	IL1a	Pla1a	2.317317081	0.03779874	0.643	0.073
eTAC	eTAC	IL-1α	IL1a	Stat5a	1.806629664	0.017640128	0.929	0.244
eTAC	eTAC	IL-1α	IL1a	Il4i1	1.555740707	0.03779874	1	0.902
eTAC	eTAC	IL-1α	IL1a	Mdn1	1.046560948	0.049258062	0.571	0.049
eTAC	eTAC	IL-1β	IL1b	Ccl17	3.507094979	0.005742305	0.526	0
eTAC	eTAC	IL-1β	IL1b	Ccl22	3.427958037	0.016978566	0.579	0.049
eTAC	eTAC	IL-1β	IL1b	Srgn	1.898905588	0.008440092	1	0.878
eTAC	eTAC	IL-1β	IL1b	Mylk	1.852805224	0.01952846	0.632	0.098
eTAC	eTAC	IL-1β	IL1b	Anxa2	1.83671104	0.01952846	0.895	0.585
eTAC	eTAC	IL-1β	IL1b	Fscn1	1.584390102	0.034820148	1	0.683
eTAC	eTAC	IL-1β	IL1b	Stat5a	1.550995757	0.001439165	0.895	0.244
eTAC	eTAC	IL-1β	IL1b	Ptpn1	1.485947323	0.046862397	0.842	0.341
eTAC	eTAC	IL-1β	IL1b	Fabp5	1.174524855	0.020448371	1	0.976
eTAC	eTAC	IL-1β	IL1b	Cfl1	0.965018209	0.008440092	1	0.976
eTAC	eTAC	IL-18	IL18	Ccl17	3.211574605	0.000753653	0.667	0
eTAC	eTAC	IL-18	IL18	Stat1	2.097225457	0.002485168	1	0.415
eTAC	eTAC	IL-18	IL18	Ifi47	1.741903422	0.011985942	0.917	0.195
eTAC	eTAC	IL-18	IL18	Igtp	1.377825147	0.002485168	0.833	0.098
eTAC	eTAC	IL-18	IL18	Psmb9	1.349007616	0.02536482	1	0.561
eTAC	eTAC	IL-7	IL7	Ccl17	4.327511834	0.002691301	0.615	0
eTAC	eTAC	IL-15	IL15	Cxcl10	3.64833395	0.001522979	0.733	0.049
eTAC	eTAC	IL-15	IL15	Cxcl9	2.791075131	0.001522979	0.8	0.098
eTAC	eTAC	IL-15	IL15	Ifi47	2.376371752	0.001522979	0.867	0.195
eTAC	eTAC	IL-15	IL15	Iigp1	2.128195866	0.005173334	0.533	0
eTAC	eTAC	IL-15	IL15	Irf1	1.777392643	0.015750855	0.8	0.171
eTAC	eTAC	IL-15	IL15	Igtp	1.761490948	0.015750855	0.667	0.098
eTAC	eTAC	IL-15	IL15	Stat1	1.751065131	0.005803199	1	0.415
eTAC	eTAC	IL-15	IL15	Samhd1	1.733867765	0.038802094	0.933	0.537
eTAC	eTAC	IL-15	IL15	Irgm1	1.651276725	0.029032915	0.667	0.122
eTAC	eTAC	IL-15	IL15	Serpina3g	1.641187872	0.005803199	1	0.634
eTAC	eTAC	IL-15	IL15	Ptpn1	1.315763987	0.036252385	1	0.341
eTAC	eTAC	IL-15	IL15	Gbp7	1.288917041	0.027912179	0.667	0.122
eTAC	eTAC	IL-15	IL15	Bcl2l11	1.233297699	0.013448381	0.733	0.122
eTAC	eTAC	IL-15	IL15	Ctsl	1.196804044	0.020188936	0.667	0.098
eTAC	eTAC	IL-15	IL15	Zbp1	1.18561142	0.041903625	0.4	0
eTAC	eTAC	IL-15	IL15	Bcl3	1.060994939	0.046680778	0.867	0.268
eTAC	eTAC	IL-15	IL15	Prpf6	1.030664821	0.005803199	0.667	0.073
eTAC	eTAC	IL-15	IL15	Irf7	1.0270109	0.048293689	0.467	0.024
eTAC	eTAC	IL-15	IL15	Arid5a	0.9744485	0.021622144	0.733	0.146
eTAC	eTAC	IL-15	IL15	Psmb9	0.969438627	0.027814896	1	0.561
eTAC	eTAC	GM-CSF	GM-CSF	Pigyl	1.013525479	0.039908037	0.889	0.098
eTAC	eTAC	GM-CSF	GM-CSF	Fam136a	0.962693611	0.039908037	0.778	0.073
eTAC	eTAC	IL-11	IL11	Gpatch11	1.092281191	0.002474699	0.667	0
eTAC	eTAC	IL-11	IL11	Senp3	0.839461901	0.034599441	0.5	0
eTAC	eTAC	IL-17E	IL17E	Zfp120	0.882669651	0.023388144	0.556	0
eTAC	eTAC	IFN-α1	IFNa1	Isg15	2.6585215	0.000219473	1	0.049
eTAC	eTAC	IFN-α1	IFNa1	Irf7	1.980979275	1.24918E-05	1	0.024
eTAC	eTAC	IFN-α1	IFNa1	Isg20	1.749555254	0.012656197	0.667	0.024
eTAC	eTAC	IFN-α1	IFNa1	Mical1	1.634746875	0.033118206	0.833	0.098
eTAC	eTAC	IFN-α1	IFNa1	Slfn5	1.451691296	0.014071424	1	0.098
eTAC	eTAC	IFN-α1	IFNa1	Rtp4	1.353670409	0.048713146	0.667	0.049
eTAC	eTAC	IFN-α1	IFNa1	Zbp1	1.254407417	0.013839777	0.5	0
eTAC	eTAC	IFN-α1	IFNa1	R3hdm2	1.110717212	0.013839777	0.833	0.098
eTAC	eTAC	IFN-α1	IFNa1	Oas3	1.01199737	0.013604194	0.667	0.024
eTAC	eTAC	IFN-α1	IFNa1	Ifi44	0.956017777	0.013839777	0.5	0
eTAC	eTAC	IFN-α1	IFNa1	Zfyve19	0.940260444	0.013839777	0.5	0
eTAC	eTAC	IFN-α1	IFNa1	Tespa1	0.84286251	0.013839777	0.5	0
eTAC	eTAC	IFN-β	IFNb	Ass1	1.747447748	0.002119156	1	0.073
eTAC	eTAC	IFN-β	IFNb	Trafd1	1.704881857	0.040705058	1	0.146
eTAC	eTAC	IFN-β	IFNb	Parp9	1.622987677	0.049705622	1	0.22
eTAC	eTAC	IFN-β	IFNb	Isg20	1.605851904	0.040705058	0.6	0.024
eTAC	eTAC	IFN-β	IFNb	Irf7	1.560578982	0.040705058	0.6	0.024
eTAC	eTAC	IFN-β	IFNb	Oasl2	1.427083497	0.040705058	0.8	0.073
eTAC	eTAC	IFN-β	IFNb	Sdc3	1.29441049	0.040705058	0.8	0.073
eTAC	eTAC	IFN-β	IFNb	Rsad2	1.275812465	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Dbf4	1.118131277	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Lgals8	1.074967586	0.040705058	0.6	0.024
eTAC	eTAC	IFN-β	IFNb	Pml	1.061944105	0.046233108	0.8	0.073
eTAC	eTAC	IFN-β	IFNb	Ddx60	1.043620856	0.003822981	0.6	0
eTAC	eTAC	IFN-β	IFNb	Apaf1	0.997894435	0.040705058	0.6	0.024
eTAC	eTAC	IFN-β	IFNb	Plpbp	0.98339392	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Rell1	0.949228568	0.040705058	0.8	0.073
eTAC	eTAC	IFN-β	IFNb	Fkbp1b	0.906085079	0.003822981	0.6	0
eTAC	eTAC	IFN-β	IFNb	Pcyt2	0.87744005	0.040705058	0.6	0.024
eTAC	eTAC	IFN-β	IFNb	Gli3	0.862622237	0.040705058	0.6	0.024
eTAC	eTAC	IFN-β	IFNb	Kif5c	0.829590468	0.003822981	0.6	0
eTAC	eTAC	IFN-β	IFNb	Mansc1	0.761824025	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Rmdn3	0.756842443	0.040705058	0.6	0.024
eTAC	eTAC	IFN-β	IFNb	Prkcq	0.741217322	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Dclk1	0.741217322	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Oit1	0.741217322	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Lgals9	0.741217322	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Krt20	0.741217322	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Cenpn	0.655180626	0.040705058	0.4	0
eTAC	eTAC	IFN-β	IFNb	Zfp97	0.580823566	0.040705058	0.4	0
eTAC	eTAC	IFN-γ	IFNg	Cxcl9	3.300468998	0.000258641	1	0.098
eTAC	eTAC	IFN-γ	IFNg	Gbp2	2.992276585	0.00935298	0.625	0.024
eTAC	eTAC	IFN-γ	IFNg	Stat1	2.34407972	0.0268668	1	0.415
eTAC	eTAC	IFN-γ	IFNg	Gbp5	2.175560888	0.026368916	0.75	0.098
eTAC	eTAC	IFN-γ	IFNg	Gbp4	2.082145622	0.000258641	0.875	0.049
eTAC	eTAC	IFN-γ	IFNg	Iigp1	1.853711262	0.000183946	0.75	0
eTAC	eTAC	IFN-γ	IFNg	Gbp7	1.508954877	0.035134577	0.75	0.122
eTAC	eTAC	IFN-γ	IFNg	Igtp	1.442408105	0.002958837	0.875	0.098
eTAC	eTAC	IFN-γ	IFNg	Slamf8	1.206630515	0.027126903	0.75	0.073
eTAC	eTAC	IFN-γ	IFNg	Serpina3f	0.925382108	0.014100212	0.5	0
eTAC	eTAC	IFN-γ	IFNg	Oas3	0.873929121	0.014100212	0.625	0.024
eTAC	eTAC	IFN-λ2	IFNl2	Faah	0.90668378	0.015291923	0.6	0
eTAC	eTAC	TNF-α	TNFa	Ccl17	1.58768526	0.023389824	0.545	0
eTAC	eTAC	TNF-α	TNFa	Tbc1d8	1.51978576	0.029436324	0.909	0.195
eTAC	eTAC	TRAIL	TRAIL	Fyco1	0.809258236	0.016591643	0.778	0.049
eTAC	eTAC	TL1A	TL1A	Exo5	1.274737367	0.015291923	0.6	0
eTAC	eTAC	GITRL	GITRL	Slc30a6	1.266749588	0.000124069	0.8	0
eTAC	eTAC	M-CSF	M-CSF	E2f3	1.001809181	0.021200259	0.571	0
eTAC	eTAC	SCF	SCF	Pxdc1	1.174949863	0.046132588	0.667	0.024
eTAC	eTAC	SCF	SCF	Nab2	0.939841754	0.046132588	0.5	0
eTAC	eTAC	SCF	SCF	Ppox	0.839967828	0.046132588	0.5	0
eTAC	eTAC	EGF	EGF	Ctsl	1.394986111	0.005163676	1	0.098
