Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
pDC	pDC	IL-1α	IL1a	Cd82	1.422657814	3.71372E-17	0.782	0.283
pDC	pDC	IL-1α	IL1a	Fkbp5	1.255633593	2.92818E-15	0.474	0.077
pDC	pDC	IL-1α	IL1a	Sla2	1.175447562	3.65101E-11	0.756	0.418
pDC	pDC	IL-1α	IL1a	P2ry10	1.060457128	1.96432E-05	0.449	0.178
pDC	pDC	IL-1α	IL1a	M6pr	1.021418304	1.38936E-09	0.744	0.372
pDC	pDC	IL-1α	IL1a	Gpr171	1.009970504	1.10512E-08	0.705	0.342
pDC	pDC	IL-1α	IL1a	Zfp36l2	0.992258414	1.10512E-08	0.795	0.517
pDC	pDC	IL-1α	IL1a	Srgn	0.947174338	2.96448E-10	0.962	0.908
pDC	pDC	IL-1α	IL1a	Socs3	0.908443857	1.15299E-12	0.436	0.077
pDC	pDC	IL-1α	IL1a	Klf13	0.843454114	0.001086154	0.577	0.388
pDC	pDC	IL-1α	IL1a	Klk1b27	0.837473817	0.0008118	0.641	0.385
pDC	pDC	IL-1α	IL1a	Adpgk	0.835321958	1.79959E-07	0.744	0.4
pDC	pDC	IL-1α	IL1a	Napsa	0.823002547	2.15072E-10	0.949	0.834
pDC	pDC	IL-1α	IL1a	Pim1	0.814831803	7.05601E-06	0.372	0.114
pDC	pDC	IL-1α	IL1a	Cytip	0.79626357	4.44204E-05	0.679	0.434
pDC	pDC	IL-1α	IL1a	Klk1	0.771140964	0.017257635	0.897	0.723
pDC	pDC	IL-1α	IL1a	Ptpn1	0.768034745	1.34582E-05	0.897	0.674
pDC	pDC	IL-1α	IL1a	Ddr1	0.730049956	0.00038865	0.603	0.326
pDC	pDC	IL-1α	IL1a	Gsr	0.728007664	2.19174E-05	0.436	0.166
pDC	pDC	IL-1α	IL1a	Cyth1	0.716745623	0.001313351	0.372	0.151
pDC	pDC	IL-1α	IL1a	Atp2b4	0.710256322	0.003859374	0.5	0.258
pDC	pDC	IL-1α	IL1a	Phf11b	0.699936748	0.010455207	0.308	0.123
pDC	pDC	IL-1α	IL1a	Runx1	0.697325494	5.90435E-05	0.359	0.117
