Cytokine	Ligand	Receptor	LR_pairs	Pathway
Androgen		AR		Androgen
CD64	IGHG1	FCGR1A	IGHG1->FCGR1A	CD64
CD64	IGHG3	FCGR1B	IGHG3->FCGR1B	CD64
CD64	IGHG4	FCGR1C	IGHG4->FCGR1C	CD64
EGFR	EGF	EGFR_ERBB2	EGF->EGFR_ERBB2	EGF
EGFR	EGF	EGFR	EGF->EGFR	EGF
Estrogen		ESR1		Estrogen
Estrogen		ESR2		Estrogen
TGFb	TGFB1	ACVR1B_TGFBR2	TGFB1->ACVR1B_TGFBR2	TGFB1
TGFb	TGFB1	ACVR1C_TGFBR2	TGFB1->ACVR1C_TGFBR2	TGFB1
TGFb	TGFB1	TGFBR1_TGFBR2	TGFB1->TGFBR1_TGFBR2	TGFB1
TGFb	TGFB1	ACVR1_TGFBR1_TGFBR2	TGFB1->ACVR1_TGFBR1_TGFBR2	TGFB1
TNFa	TNF	TNFRSF1A	TNF->TNFRSF1A	TNFA
TNFa	TNF	TNFRSF1B	TNF->TNFRSF1B	TNFA
Trail	TNFSF10	TNFRSF10A	TNFSF10->TNFRSF10A	TRAIL
Trail	TNFSF10	TNFRSF10B	TNFSF10->TNFRSF10B	TRAIL
VEGF	VEGFA	FLT1_KDR	VEGFA->FLT1_KDR	VEGFA
VEGF	VEGFA	KDR	VEGFA->KDR	VEGFA
VEGF	VEGFA	FLT1	VEGFA->FLT1	VEGFA
NFkB				NFkB
JAK-STAT				JAK-STAT
PI3K				PI3K
p53				p53
Hypoxia				Hypoxia
MAPK				MAPK
WNT				WNT
