Nreads	Context	Sample	CellType	Status	CellTypeDiseaseTissueStatus	DiseaseTissue
137926	CD4_T_cell_CD_R_NI_BR639_R	BR639_R	CD4_T_cell	NI	CD4_T_cell_CD_R_NI	CD_R
97662	CD4_T_cell_CD_R_NI_ADL0027_R	ADL0027_R	CD4_T_cell	NI	CD4_T_cell_CD_R_NI	CD_R
556911	CD4_T_cell_CD_R_NI_ADL0005_R	ADL0005_R	CD4_T_cell	NI	CD4_T_cell_CD_R_NI	CD_R
649663	CD4_T_cell_CD_R_I_ADL0016_R	ADL0016_R	CD4_T_cell	I	CD4_T_cell_CD_R_I	CD_R
173265	CD4_T_cell_CD_R_I_ADL0003_R	ADL0003_R	CD4_T_cell	I	CD4_T_cell_CD_R_I	CD_R
1017800	CD4_T_cell_CD_R_I_ADL0008_R	ADL0008_R	CD4_T_cell	I	CD4_T_cell_CD_R_I	CD_R
194514	CD4_T_cell_CD_R_I_ADL0038_R	ADL0038_R	CD4_T_cell	I	CD4_T_cell_CD_R_I	CD_R
1678335	CD4_T_cell_CD_R_I_ADL0048_R	ADL0048_R	CD4_T_cell	I	CD4_T_cell_CD_R_I	CD_R
511846	CD4_T_cell_CD_R_I_ADL0050_R	ADL0050_R	CD4_T_cell	I	CD4_T_cell_CD_R_I	CD_R
186137	CD4_T_cell_CD_R_I_ADL0051_R	ADL0051_R	CD4_T_cell	I	CD4_T_cell_CD_R_I	CD_R
176244	CD4_T_cell_CD_TI_NI_ADL0001_TI	ADL0001_TI	CD4_T_cell	NI	CD4_T_cell_CD_TI_NI	CD_TI
109407	CD4_T_cell_CD_TI_NI_ADL0005_TI	ADL0005_TI	CD4_T_cell	NI	CD4_T_cell_CD_TI_NI	CD_TI
1766675	CD4_T_cell_CD_TI_NI_ADL0019_TI	ADL0019_TI	CD4_T_cell	NI	CD4_T_cell_CD_TI_NI	CD_TI
204915	CD4_T_cell_CD_TI_NI_ADL0014_TI	ADL0014_TI	CD4_T_cell	NI	CD4_T_cell_CD_TI_NI	CD_TI
696338	CD4_T_cell_CD_TI_NI_ADL0025_TI	ADL0025_TI	CD4_T_cell	NI	CD4_T_cell_CD_TI_NI	CD_TI
632622	CD4_T_cell_CD_TI_NI_ADL0036_TI	ADL0036_TI	CD4_T_cell	NI	CD4_T_cell_CD_TI_NI	CD_TI
325002	CD4_T_cell_CD_TI_I_ADL0003_TI	ADL0003_TI	CD4_T_cell	I	CD4_T_cell_CD_TI_I	CD_TI
184173	CD4_T_cell_CD_TI_I_BR639_TI	BR639_TI	CD4_T_cell	I	CD4_T_cell_CD_TI_I	CD_TI
1466847	CD4_T_cell_CD_TI_I_ADL0011_TI	ADL0011_TI	CD4_T_cell	I	CD4_T_cell_CD_TI_I	CD_TI
1688007	CD4_T_cell_CD_TI_I_ADL0060_TI	ADL0060_TI	CD4_T_cell	I	CD4_T_cell_CD_TI_I	CD_TI
84117	CD4_T_cell_CD_TI_I_ADL0061_TI	ADL0061_TI	CD4_T_cell	I	CD4_T_cell_CD_TI_I	CD_TI
483738	CD4_T_cell_CD_TI_I_ADL0062_TI	ADL0062_TI	CD4_T_cell	I	CD4_T_cell_CD_TI_I	CD_TI
