CellType	DiseaseTissue	Ident1	Ident2	Gene	Log2FC	pval	padj	stat
CD4_T_cell	UC_R	I	NI	LINC01409	0.6411	0.16	0.758	1.405
CD4_T_cell	UC_R	I	NI	TNFRSF18	1.292	0.1317	1	1.507
CD4_T_cell	UC_R	I	NI	TNFRSF4	0.6228	0.3568	1	0.9214
CD4_T_cell	UC_R	I	NI	SDF4	-0.3447	0.5611	1	-0.5812
CD4_T_cell	UC_R	I	NI	UBE2J2	0.1311	0.7775	1	0.2826
CD4_T_cell	UC_R	I	NI	CCNL2	0.2366	0.462	0.9618	0.7355
CD4_T_cell	UC_R	I	NI	MRPL20	-0.4894	0.3021	0.8679	-1.032
CD4_T_cell	UC_R	I	NI	SSU72	-0.07851	0.8543	1	-0.1836
CD4_T_cell	UC_R	I	NI	CDK11B	-0.1783	0.7241	1	-0.3529
CD4_T_cell	UC_R	I	NI	SLC35E2B	0.07839	0.8519	1	0.1867
CD4_T_cell	UC_R	I	NI	SLC35E2A	0.03239	0.942	1	0.07272
CD4_T_cell	UC_R	I	NI	GNB1	0.2877	0.1857	0.6214	1.323
CD4_T_cell	UC_R	I	NI	PRKCZ	0.2305	0.5659	1	0.5742
CD4_T_cell	UC_R	I	NI	SKI	0.09907	0.7512	1	0.317
CD4_T_cell	UC_R	I	NI	RER1	-0.6014	0.1863	1	-1.322
CD4_T_cell	UC_R	I	NI	TNFRSF14	-0.6518	0.1507	1	-1.437
CD4_T_cell	UC_R	I	NI	CEP104	0.1173	0.7471	1	0.3225
CD4_T_cell	UC_R	I	NI	KCNAB2	-0.0389	0.8953	1	-0.1317
CD4_T_cell	UC_R	I	NI	RPL22	-1.576	0.005727	0.2245	-2.763
CD4_T_cell	UC_R	I	NI	TNFRSF25	0.5554	0.1874	0.8234	1.318
CD4_T_cell	UC_R	I	NI	NOL9	0.1476	0.7344	1	0.3392
CD4_T_cell	UC_R	I	NI	DNAJC11	0.124	0.7439	1	0.3267
CD4_T_cell	UC_R	I	NI	CAMTA1	0.2582	0.3248	0.9059	0.9846
CD4_T_cell	UC_R	I	NI	PARK7	-0.3149	0.445	1	-0.7637
CD4_T_cell	UC_R	I	NI	RERE	-0.09392	0.5814	0.8565	-0.5514
CD4_T_cell	UC_R	I	NI	ENO1	-0.4931	0.2245	0.8524	-1.215
CD4_T_cell	UC_R	I	NI	H6PD	-0.4441	0.348	0.9286	-0.9384
CD4_T_cell	UC_R	I	NI	SPSB1	1.549	0.02325	0.65	2.269
CD4_T_cell	UC_R	I	NI	PIK3CD	0.2001	0.5637	0.8234	0.5774
CD4_T_cell	UC_R	I	NI	CLSTN1	0.2463	0.4651	0.8591	0.7305
CD4_T_cell	UC_R	I	NI	LZIC	-0.03869	0.936	1	-0.08028
CD4_T_cell	UC_R	I	NI	UBE4B	-0.1331	0.5663	0.824	-0.5735
CD4_T_cell	UC_R	I	NI	KIF1B	-0.02339	0.9641	1	-0.04502
CD4_T_cell	UC_R	I	NI	PEX14	0.41	0.1099	0.6009	1.598
CD4_T_cell	UC_R	I	NI	TARDBP	-0.1926	0.5439	1	-0.6069
CD4_T_cell	UC_R	I	NI	EXOSC10	0.04166	0.9139	1	0.1082
CD4_T_cell	UC_R	I	NI	MTOR	0.3342	0.2507	0.8235	1.149
CD4_T_cell	UC_R	I	NI	TNFRSF1B	0.4142	0.3292	0.8673	0.9757
CD4_T_cell	UC_R	I	NI	VPS13D	-0.1561	0.4608	0.7887	-0.7375
CD4_T_cell	UC_R	I	NI	DHRS3	-0.5499	0.3501	1	-0.9344
CD4_T_cell	UC_R	I	NI	PRDM2	-0.004098	0.9816	0.9341	-0.02307
CD4_T_cell	UC_R	I	NI	DNAJC16	0.3097	0.2976	1	1.042
CD4_T_cell	UC_R	I	NI	DDI2	-0.03243	0.921	1	-0.09912
CD4_T_cell	UC_R	I	NI	PLEKHM2	-0.5726	0.2101	0.8623	-1.253
CD4_T_cell	UC_R	I	NI	SPEN	-0.1642	0.4994	1	-0.6755
CD4_T_cell	UC_R	I	NI	FBXO42	-0.1971	0.4402	1	-0.7718
CD4_T_cell	UC_R	I	NI	SZRD1	0.1733	0.631	1	0.4804
CD4_T_cell	UC_R	I	NI	NECAP2	-0.3248	0.4296	1	-0.7899
