mouseSYM	humanSYM
0610010F05Rik	KIAA1841
0610010K14Rik	RNASEK-C17orf49
0610010K14Rik	C17orf49
0610012G03Rik	NCBP2AS2
0610030E20Rik	C2orf68
0610040J01Rik	C4orf19
1110002E22Rik	C4orf54
1110004F10Rik	C11orf58
1110008P14Rik	C9orf16
1110012L19Rik	EOLA1
1110012L19Rik	EOLA2
1110017D15Rik	C9orf24
1110032A03Rik	C11orf1
1110032F04Rik	C3orf80
1110038F14Rik	C8orf33
1110051M20Rik	C11orf49
1110059E24Rik	C9orf85
1110059G10Rik	KIAA1143
1110065P20Rik	C1orf122
1190005I06Rik	C16orf74
1190007I07Rik	C12orf73
1500009L16Rik	C12orf75
1520401A03Rik	LINC00514
1600012H06Rik	C6orf120
1600014C10Rik	C19orf12
1600017P15Rik	Telomerase-vert
1700001C19Rik	AL096814.1
1700001C19Rik	AL096814.2
1700001L19Rik	C5orf49
1700001O22Rik	C9orf50
1700001P01Rik	C17orf98
1700003E16Rik	AC005041.1
1700003E16Rik	C2orf81
1700003F12Rik	C20orf144
1700007K13Rik	C9orf116
1700008O03Rik	C19orf81
1700009N14Rik	RAN
1700010I14Rik	C6orf118
1700011L22Rik	C4orf51
1700011M02Rik	FAM236B
1700011M02Rik	FAM236D
1700011M02Rik	FAM236C
1700011M02Rik	FAM236A
1700012B09Rik	C11orf97
1700012P22Rik	C1orf158
1700013F07Rik	C1orf194
1700013H16Rik	SYCP3
1700015F17Rik	AC002456.2
1700015G11Rik	CCDC179
1700016C15Rik	C1orf100
1700016D06Rik	SPACA7
1700016H13Rik	C4orf36
1700016H13Rik	AC093827.5
1700016K19Rik	C17orf97
1700017B05Rik	C15orf39
1700017N19Rik	C12orf50
1700018B08Rik	C16orf95
1700018B08Rik	AC010531.1
1700019D03Rik	C2orf88
1700019N19Rik	C10orf82
1700020A23Rik	C20orf141
1700020D05Rik	NSMCE3
1700020L24Rik	C17orf50
1700021F07Rik	C20orf85
1700022I11Rik	C9orf131
1700024G13Rik	C10orf53
1700025G04Rik	C1orf21
1700028K03Rik	C1orf146
1700028P14Rik	C9orf135
1700029H14Rik	C13orf46
1700029I15Rik	C11orf94
1700029J07Rik	C4orf47
1700029P11Rik	NDUFB11
1700030J22Rik	C16orf46
1700030K09Rik	C19orf44
1700031M16Rik	C12orf54
1700034E13Rik	AC010255.2
1700034J05Rik	C12orf71
1700037C18Rik	C16orf90
1700037H04Rik	C20orf27
1700040F15Rik	SYCP3
1700042G07Rik	P3R3URF
1700057G04Rik	PLSCR1
1700066B19Rik	SMIM33
1700066M21Rik	C2orf69
1700067K01Rik	C19orf67
1700086L19Rik	LINC00643
1700088E04Rik	C22orf23
1700092M07Rik	TEX54
1700093K21Rik	C2orf74
1700094D03Rik	C1orf189
1700102P08Rik	C3orf62
1700113H08Rik	C12orf42
1700123L14Rik	NUP50
1700123O20Rik	C14orf119
1700125H20Rik	C17orf64
1810009A15Rik	C11orf98
1810010H24Rik	C17orf58
1810013L24Rik	C16orf72
1810020O05Rik	CFAP92
1810030O07Rik	CXorf38
1810037I17Rik	C4orf3
1810046K07Rik	C11orf53
1810055G02Rik	C11orf24
1810058I24Rik	STMP1
2010003K11Rik	C11orf86
2010300C02Rik	CRACDL
2200002D01Rik	AC011479.1
2200002D01Rik	C19orf33
2210016F16Rik	C9orf64
2210016L21Rik	C12orf43
2210017I01Rik	AL162596.1
2210408I21Rik	KIAA0825
2300002M23Rik	C6orf15
2300009A05Rik	C15orf61
2310009B15Rik	C1orf53
2310011J03Rik	C19orf25
2310022A10Rik	C19orf47
2310022B05Rik	C1orf198
2310030G06Rik	C11orf52
2310033P09Rik	C1orf35
2310034G01Rik	C10orf95
2310039H08Rik	C6orf226
2310050C09Rik	C1orf68
2310057J18Rik	C6orf58
2310057M21Rik	C10orf88
2310057M21Rik	C10orf88B
2310061I04Rik	C6orf136
2410002F23Rik	C19orf48P
2410004B18Rik	C1orf52
2410004P03Rik	C2orf50
2410131K14Rik	SPRING1
2510002D24Rik	C22orf39
2510009E07Rik	C3orf70
2510039O18Rik	KIAA2013
2610001J05Rik	SMIM30
2610028H24Rik	C21orf58
2610301B20Rik	C8orf37
2610507B11Rik	KIAA0100
2610528A11Rik	C10orf99
2610528J11Rik	C1orf210
2700049A03Rik	KIAA0586
2700062C07Rik	C18orf21
2700081O15Rik	C11orf95
2810004N23Rik	C1orf131
2810006K23Rik	C12orf65
2810459M11Rik	C2orf72
2900026A02Rik	KIAA1671
2900092C05Rik	C19orf18
3110001I22Rik	PPHLN1
3110009E18Rik	C2orf76
3110040N11Rik	C15orf40
3110082I17Rik	C7orf50
3425401B19Rik	C10orf71
3830403N18Rik	SYCP3
3830406C13Rik	C3orf14
4430402I18Rik	SPATA6L
4833420G17Rik	C5orf34
4833427G06Rik	HOATZ
4833439L19Rik	KIAA1191
4921504E06Rik	C10orf67
4921507P07Rik	C7orf31
4921517D22Rik	C9orf153
4921524J17Rik	C16orf87
4921536K21Rik	C5orf52
4921539E11Rik	C1orf141
4930402H24Rik	C20orf194
4930404N11Rik	C19orf71
4930407I10Rik	C22orf46P
4930415L06Rik	PPP4R3C
4930415O20Rik	TEX49
4930430F08Rik	C12orf29
4930432K21Rik	C19orf57
4930433I11Rik	C2orf78
4930444P10Rik	C8orf89
4930447C04Rik	C14orf39
4930451I11Rik	C16orf92
4930452B06Rik	CFAP20DC
4930453N24Rik	C3orf38
4930467E23Rik	POTEA
4930469K13Rik	C5orf58
4930503L19Rik	C18orf54
4930505A04Rik	C2orf73
4930522H14Rik	C1orf185
4930523C07Rik	KIAA0040
4930524B15Rik	C5orf47
4930544D05Rik	C17orf107
4930550C14Rik	C11orf65
4930558C23Rik	CTXND2
4930558K02Rik	C1orf105
4930562C15Rik	C16orf96
4930563E22Rik	C17orf100
4930578I06Rik	C8orf74
4930579F01Rik	C4orf17
4930579G24Rik	C4orf46
4930590J08Rik	C3orf20
4931406C07Rik	C11orf54
4931406P16Rik	GARRE1
4931408C20Rik	SPATA31E1
4931414P19Rik	C14orf93
4931417E11Rik	JKAMP
4931428F04Rik	KIAA0895L
4931428L18Rik	ALYREF
4932411N23Rik	DMTF1
4932415D10Rik	C2orf16
4932429P05Rik	PPP4R3C
4932438A13Rik	KIAA1109
4932438H23Rik	C21orf62
4933402J07Rik	C16orf78
4933402N03Rik	C10orf120
4933405L10Rik	C16orf86
4933405O20Rik	IDH3G
4933411K16Rik	C10orf62
4933412E24Rik	BX276092.9
4933412E24Rik	CXorf49
4933412E24Rik	CXorf49B
4933417A18Rik	C6orf201
4933424G06Rik	C2orf92
4933427D14Rik	KIAA0753
4933430I17Rik	C9orf43
4933434E20Rik	C1orf43
5031439G07Rik	KIAA0930
5330417C22Rik	ELAPOR1
5430401F13Rik	LPA
5430427O19Rik	CXorf21
5730409E04Rik	C1orf216
5730455P16Rik	C17orf75
5730480H06Rik	PACRGL
5830411N06Rik	SCART1
6030458C11Rik	C5orf22
6030468B19Rik	C17orf99
6330403K07Rik	AC055839.2
6430548M08Rik	KIAA0513
6430550D23Rik	C20orf173
6430571L13Rik	C3orf18
6430628N08Rik	TMEM275
6820408C15Rik	C20orf96
7420426K07Rik	PRR23A
7420426K07Rik	PRR23B
7420426K07Rik	PRR23C
8030462N17Rik	C18orf25
8030474K03Rik	BX276092.9
8030474K03Rik	CXorf49
8030474K03Rik	CXorf49B
9030025P20Rik	ERMARD
9030622O22Rik	LINC00261
9130008F23Rik	C6orf141
9130401M01Rik	C8orf76
9130401M01Rik	ZHX1-C8orf76
9130409I23Rik	DEGS1
9330117O12Rik	LINC01170
9330159F19Rik	KIAA0408
9330182L06Rik	ELAPOR2
9430015G10Rik	C1orf159
9430038I01Rik	C10orf143
9530003J23Rik	LYZ
9530068E07Rik	C5orf15
9530077C05Rik	KIAA0895
9930012K11Rik	AC037459.1
9930012K11Rik	C8orf58
9930021J03Rik	KIAA2026
9930104L06Rik	C1orf109
A130010J15Rik	C1orf74
A1bg	A1BG
A1cf	A1CF
A26c2	POTEA
A26c3	POTEA
A2m	A2M
A3galt2	A3GALT2
A430005L14Rik	C1orf174
A4galt	A4GALT
A4gnt	A4GNT
A530016L24Rik	C14orf180
A630089N07Rik	ZNF788P
A730046J19Rik	SERTM2
A830018L16Rik	C8orf34
A930017K11Rik	PRR35
A930018P22Rik	C11orf91
AA467197	C15orf48
AA986860	C1orf116
AAdacl4fm3	AADACL4
AB124611	C19orf38
AC087559.2	AL162231.1
AC118710.1	CYP2D6
AC118710.1	CYP2D7
AC124742.1	RPLP2
AC124764.1	DYNAP
AC125149.4	SP110
AC125149.5	SP110
AC132407.1	AC083977.1
AC132444.3	SP110
AC133103.3	SP100
AC133103.4	SP110
AC133103.5	SP110
AC140267.1	AL022312.1
AC141477.1	AP000471.1
AC151602.1	AC008687.4
AC159819.1	UBE2S
AC160405.1	AP001054.1
AC168977.1	SP110
AC168977.2	SP100
AF357399	AL031650.1
AF357399	AL590730.2
AF357399	AC026784.1
AF357399	AC005774.1
AF357399	AL391241.1
AF357399	AL033519.1
AF357399	AC010501.1
AF357399	AC090821.1
AF357399	AC079802.1
AF357399	SNORA40C
AF357399	AC008705.1
AF357399	AC087893.1
AF357399	SNORA40B
AF357399	SNORA40
AF357399	AL390877.1
AF357399	AC055866.1
AF357425	SNORD113-6
AI182371	C5
AI429214	C8orf48
AI467606	C16orf54
AI480526	LINC01089
AI593442	C11orf87
AI597479	C2orf49
AI661453	C6orf132
AI837181	C11orf68
AI854703	AC073111.3
AK157302	ISCA1
AL607142.1	AC119676.1
AL646049.1	CXorf58
AL731706.1	AL034430.1
AL731706.2	AL034430.2
AL805980.1	BX276092.9
AL805980.1	CXorf49
AL805980.1	CXorf49B
AL935121.1	GANC
AL935121.1	AC012651.1
AU015836	CHCHD4
AU021092	C16orf89
AU022252	C1orf50
AU040320	KIAA0319L
AW209491	C7orf25
AW549877	C5orf51
AW551984	VWA5A
AW554918	KIAA1328
AY761185	DEFA6
AY761185	DEFA4
AY761185	DEFA1
AY761185	DEFA1B
AY761185	DEFA3
AY761185	DEFA5
Aaas	AAAS
Aacs	AACS
Aadac	AADAC
Aadacl2	AADACL2
Aadacl3	AADACL3
Aadacl4	AADACL4
Aadacl4fm1	AADACL4
Aadacl4fm2	AADACL4
Aadacl4fm4	AADACL4
Aadacl4fm5	AADACL4
Aadat	AADAT
Aagab	AAGAB
Aak1	AAK1
